,usuarios,comments
0,,
1,,
2,,
3,rarregui4,Seria muy recomendable q no hagan escala en Brasil.por las dudas
4,susana87,"@rarregui4 ""Este gobierno de derecha, supuestamente de derecha, fue el primero que reconoció los derechos de los trabajadores"" . esto dijo moyano según LA NACIÓN del 28 de setiembre de 2015.  De eso usted no se acuerda nada, verdad? No defiendo a moyano, destaco la moral de convniencia del sr. Mauri, flor de chanta. "
5,ieroslav,"mientras el jefe del clan grita, el prófugo está en los emiratos árabes tratando de afiliar a los camelleros. solo en peronia."
6,susana87,"fuente: la naciòn del 28 de septiembre de 2015
""Mauricio Macri se mostró con Hugo Moyano y se cruzaron elogios"".- Que lejos aquellos tiempos  del ""rubio"" moyano que ayudó a ganar las elecciones del 2015. Ay, ay y ay con la moral golberta! 
 "
7,mojeda12,@susana87 Cambiemos  debe dialogar con todos los mafiosos) tamb. 
8,Just4Justice,@susana87 Imaginate que tienen que hablar con delincuentes como  GAV0IS ........  HASTA TANTO LA JUSTICIA LOS EMBARGUE Y ENCANE... EL GOBIERNO HABLA ..... 
9,totociber2013,@susana87 Amiga: en el universo peronista colmado de mafiosos de distintos pelajes y distintos clanes...
10,rarregui4,Me parece q los q se van a tener q ir rapido en helicoptero hacia Venezuela.(si no quieren terminar todos presos)van a ser otros.y no precisamente el gobierno de Cambiemos.
11,Just4Justice,@rarregui4 Y COMO SON TANTOS...... MEJOR UN BUEN COHETE EN DIRECCION A MERCURIO ...... CERCANO AL SOL ..... HASTA POR AHI LES DAMOS EL PRIVILEGIO DE LLEGAR A LA GRAN ESTRELLA Y COLONIZARLA !!!... JAJAAAJJA
12,mojeda12,"@rarregui4 Estos mafiosos enquistados , en el Poder, se tiene que TERMINAR YA !!! "
13,Caida_Libre,El POROTISMO esta ON FIRE: SE LES CAE OTRO ALIADO
14,juanjorgesalzman,Moyano vivimos en democracia deje que la justicia actue…...
15,fper7709,"Otro que se reune con el Pancho y recibe la ""bendicion"""
16,susana87,"@fper7709L Nación  del 28 de septiembre de 2015 daba cuenta de que ""Mauricio Macri se mostró con Hugo Moyano y se cruzaron elogios"".- Que lejos aquellos tiempos  del ""rubio"" moyano que ayudó a ganar las elecciones del 2015. Ay, ay y ay con la moral golberta! "
17,ieroslav,"@susana87 @fper7709 y la tuya como anda? flojita al parecer, no pasás ni el primer parcial."
18,Just4Justice,GRACIAS GRACIELA OCAÑA !!!!
19,susana87,@Just4Justice le dice gracias a ocaña por el tema de los aportantes truchos de la elección 2017? 
20,fper7709,@susana87 @Just4Justice Vos manejas el meonca o sos acompañante?
21,Just4Justice,"@susana87 @Just4Justice NO,  POR INVESTIGAR TANTAS CAUSAS CONTRA EL CORRUPTO Y ASESINO DE LA NOTA"
22,calistaflo,Alguien en su sano juicio duda de la acusación del Fiscal.....? 
