,cantidad,keyword,toxicity
26,22,Mauricio Macri,0.2506692009468585
16,20,River Plate,0.21156022354829457
9,20,Primera,0.22080646918220154
567,17,Selección Argentina,0.24261294980539305
93,17,BCRA,0.17416349743541137
290,17,Inflación,0.2120246624383635
104,16,Dólar hoy,0.18007275954747912
401,16,dólar Argentina,0.1535586794010849
10,15,Superliga,0.24593733484697153
230,14,dólar,0.19741938276292983
600,14,Juegos Olímpicos de la Juventud,0.14674252276724944
106,13,Cristina Kirchner,0.32180836057674445
13,13,Copa Libertadores,0.2430855994403719
92,12,Banco Central Argentina,0.15496869780147715
17,12,Boca Juniors,0.2240942490974244
15,11,Independiente,0.2897300011191032
142,11,Teleshow Internacional,0.19145159911618553
144,10,Israel,0.38151740869929573
27,9,FMI,0.24614496548934645
493,9,Elisa Carrió,0.28252684374427434
61,9,Television,0.25139872788657264
95,8,Guido Sandleris,0.2374878773336217
75,8,Estados Unidos,0.2532544664451333
74,8,China,0.2884115930877552
418,8,Lionel Messi,0.2778989400471666
1,8,Rusia,0.27963547609449535
28,8,Nicolás Dujovne,0.22615978178558907
281,8,AFA,0.23370490442352154
782,7,Pablo Moyano,0.3480870257785949
39,7,Sergio Massa,0.27639893972062907
566,7,Lionel Scaloni,0.2205372377969092
867,7,Arabia Saudita,0.2992822396937264
63,7,Bailando 2018,0.268736185535699
259,7,música,0.23391192074508552
466,6,Laurita Fernández,0.2719456973125634
751,6,Presupuesto 2019,0.30395459014572307
533,6,Ciudad de Buenos Aires,0.21118717179780153
145,6,Palestina,0.460723428359163
514,6,riesgo país Argentina,0.20065543001388886
512,6,acciones bonos dólar Argentina,0.20065543001388886
46,6,Narcotráfico,0.2345424859416209
215,6,River,0.2211716864080557
758,6,Cambiemos,0.29105914010685513
37,6,CGT,0.33799724434828954
11,5,Racing Club,0.28108852496285713
103,5,Banco Central,0.24390524459812957
65,5,Marcelo Tinelli,0.24222483486366989
150,5,Donald Trump,0.34024801825
440,5,Marcelo Gallardo,0.22088292656304626
522,5,Córdoba,0.202705119072691
193,5,ShowMatch,0.27455149901497744
265,5,Lali Espósito,0.301196994879969
24,5,Acuerdo con el FMI,0.2980325936231381
332,5,Francia,0.30031858004361134
79,5,San Lorenzo,0.1910282612794872
91,4,fútbol internacional,0.2905033171858899
128,4,El Trece,0.2442638125851198
923,4,Hugo Moyano,0.316702526027991
827,4,Ley de Alquileres,0.21546597408945378
494,4,Germán Garavano,0.2991106886263749
880,4,Mercado inmobiliario,0.19732971030985993
102,4,Patricia Bullrich,0.2817641069524803
478,4,Juan Martín del Potro,0.11363851813333334
467,4,Nicolas Cabré,0.2485104270884104
396,4,Brasil,0.2244638603041667
33,4,Kirchnerismo,0.2908931986844784
339,4,Superliga Argentina,0.13828534099844722
278,4,Fútbol europeo,0.18974954038396824
21,4,indec,0.16059615087275642
321,4,Canadá,0.24969542009440884
1050,4,dia de la madre,0.13866656525833332
658,4,Alquileres,0.2195348377215477
1008,4,54 Coloquio Idea,0.24124332655914507
178,4,AFIP,0.19491607308175707
231,4,tasas,0.20789847106568146
165,4,Juegos Olímpicos de la Juventud Buenos Aires 2018,0.2616015030052083
1067,4,Jamal Khashoggi,0.3606095891306878
405,4,Recesión,0.22542947890040693
665,4,déficit fiscal,0.19129271555363253
2,4,Vladimir Putin,0.2711354655007184
779,4,leliq,0.14012051420098043
883,3,María Eugenia Vidal,0.23521642086818492
219,3,Copa Argentina,0.1933248538019324
262,3,Mirtha Legrand,0.25100478084488237
407,3,G20ARG,0.21570156288108108
220,3,Guillermo Barros Schelotto,0.23791527784811597
507,3,Rosario Central,0.1939457993018648
252,3,aborto legal,0.36383555901348275
240,3,acoso sexual,0.2971770631733333
233,3,Cuadernos de las coimas K,0.39578591721039497
223,3,Correo Argentino,0.22883780957016486
482,3,aumento de tarifas,0.31532298572260714
490,3,tasas de interés,0.18689999729027115
