,abierta_comentarios,autor,cuerpo,fecha,seccion,titulo,url
0,True,,"Sorpresa: Luis Caputo, presentó este martes al presidente Mauricio Macri su renuncia como presidente del Banco Central de la República Argentina. ""Esta renuncia se debe a motivos personales, con la convicción de que el nuevo acuerdo con el Fondo Monetario Internacional reestablecerá la confianza acerca de la situación fiscal, financiera, monetaria y cambiaria"", señaló la entidad monetaria, a través de un breve comunicado. ""Caputo le ha expresado al Presidente Macri todo su agradecimiento por la confianza depositada en él para ocupar diferentes cargos desde el comienzo de su gobierno; primero como Secretario de Finanzas, luego como ministro de Finanzas y como Presidente del Banco Central de la República Argentina durante este último tiempo"". La sorpresiva dimisión del funcionario se produce en momentos en que el Gobierno gestiona un nuevo acuerdo con el Fondo Monetario Internacional (FMI), a cerrarse en los ""próximos días"", que podría incluir un desembolso adicional a los USD 50.000 millones acordados en junio. A su vez, Mauricio Macri, quien está de viaje en Nueva York, dijo a Bloomberg TV que el país podría cerrar ""en los próximos días"" el nuevo acuerdo con el FMI, aunque no dio detalles sobre montos debido a que las conversaciones con el organismo continuaban. ""Estamos trabajando (con el FMI) para tener un buen acuerdo"", dijo más tarde a periodistas desde Nueva York el ministro de Economía argentino, Nicolás Dujovne. ""Todavía no tenemos cerrado el acuerdo (…) seguimos conversando y trabajando"", agregó. Argentina ya recibió USD 15.000 millones de la línea de crédito del FMI, por el que el Gobierno se comprometió eliminar su déficit fiscal y recuperar la confianza de los mercados, mientras atraviesa una severa crisis financiera. En tres meses, esos dólares se utilizaron en su totalidad para estabilizar el mercado de cambios, desarmar el stock de LEBAC y pagar vencimientos de deuda pública. Recientemente, en una conferencia realizada en el IAEF, Caputo habló de los planes a largo plazo que tenía para su gestión en el Banco Central, por lo que nada hacía prever esta salida.",25/09/18,economia,Luis Caputo renunció al Banco Central,https://www.infobae.com/economia/2018/09/25/luis-caputo-renuncio-al-banco-central/&sa=U&ved=0ahUKEwjs2cfPgJneAhXus1kKHWubC_sQFggTMAA&usg=AOvVaw3z5jsCsjN_p0l8WxxkHFQV
1,True,,"El actual secretario de Política Económica, Guido Sandleris, que fue ganando influencia en el Ministerio de Hacienda y que en los hechos se manejaba como el número dos del ministro Nicolás Dujovne, es el nuevo presidente del Banco Central. Se estima que Luis Caputo, que presentó su renuncia este martes en forma sorpresiva, veía con recelos la influencia cada vez más grande del jefe de Gabinete Marcos Peña y Nicolás Dujovne en las negociaciones con el Fondo Monetario Internacional (FMI), de donde se habría sentido desplazado. Sandleris era el encargado de llevar adelante la parte técnica de las negociaciones, donde ocupó un rol clave. Luis Caputo, que asumió el 14 de junio de este año, también habría sido responsabilizado por haber impulsado el breve mensaje de Mauricio Macri a fines de agosto donde se anunció un nuevo acuerdo con el FMI cuando aún las negociaciones no estaban avanzadas y que tuvo un impacto negativo en los mercados. Es probable que el nombramiento de Sandleris coincida con el anuncio del nuevo acuerdo con el FMI, que podría concretarse finalmente esta tarde. La carrera de Sandleris como funcionario arrancó en 2016 cuando se desempeñó como subsecretario de Finanzas de la Provincia de Buenos Aires. En 2017 se sumó al gobierno nacional como jefe de asesores del Ministerio de Hacienda. Desde mediados de este año es secretario de Política Económica del Ministerio de Hacienda. Se especializa en economía internacional, finanzas y macroeconomía. Entre otros temas, sus estudios analizan el efecto de las crisis financieras y los costos de los defaults soberanos. Sus trabajos han sido publicados en el Journal of International Economics, Journal of Monetary Economics, Journal of Money, Credit and Banking y Oxford University Press, entre otros.",25/09/18,economia,Guido Sandleris es el reemplazante de Caputo en el Banco Central,https://www.infobae.com/economia/2018/09/25/guido-sandleris-seria-el-reemplazante-de-caputo-en-el-banco-central/&sa=U&ved=0ahUKEwjs2cfPgJneAhXus1kKHWubC_sQFggZMAE&usg=AOvVaw11a2niEwqmnfYb6C0-Xty0
2,True,,"El crecimiento más rápido de Uber en todo el mundo se registra actualmente en la Argentina. Ese es el balance que hicieron dos de sus principales directivos de la región, quienes advirtieron también que a causa de la falta de regulación todavía la compañía no obtuvo beneficios económicos en el país. La incertidumbre económica que afecta a la Argentina a lo largo de los últimos meses, el incremento del desempleo y la disminución del poder adquisitivo fueron algunos de los factores que impulsaron el crecimiento en el servicio. ""La caída económica definitivamente ayudó a muchas personas a encontrar a nuestra empresa como una alternativa de ingresos interesante"", le afirmó el director de desarrollo de negocio de Uber en Argentina, Felipe Fernández Aramburu, a la agencia de noticias Reuters. De acuerdo con sus últimos informes, uno de cada cinco conductores de Uber se encontraba desempleado al momento de sumarse a la compañía. En tanto, las cifras oficiales evidenciaron que en los últimos tres meses la empresa de transporte registró 55 mil nuevos conductores y un millón de usuarios activos. Cada día, Uber incorpora entre 300 y 400 choferes y unos 7.000 clientes online. Así y todo, desde la dirección regional no se teme que la recesión económica en el país pueda provocar una desproporción entre el crecimiento de conductores y el de nuevos clientes. ""Nuestro crecimiento actual no está relacionado específicamente a la situación económica de los conductores"", afirmó el director de Uber Latinoamérica, Andrew Macdonald. El ejecutivo confía en que una escasez de la oferta del servicio de transporte público pueda hacer crecer la demanda de viajes en la Argentina. En tanto, confirma que el mayor crecimiento dentro de Buenos Aires se dio en los barrios con menor cantidad de líneas de colectivo y más alejados de las estaciones de trenes o subtes. Así y todo, Uber todavía se enfrenta a su principal obstáculo desde que llegó a la Argentina: la falta de ingresos económicos. Por el momento, la ausencia de una regulación sobre su servicio provocó que Uber se vea imposibilitado de cobrarles a los conductores el 25 por ciento de comisión que le corresponde por cada trayecto. La falta de leyes obligó a que los conductores solo puedan cobrar su servicio mediante el pago de efectivo o a través de tarjetas de crédito emitidas en el exterior, que casi ninguno de los clientes tiene. Tanto las tarjetas de débito como las de crédito locales se encuentran por el momento inhabilitadas. Al realizarse la gran mayoría de los pagos en dinero metálico, resulta imposible para los choferes abonar la comisión de cada viaje a la empresa. Y precisamente, el pago de ese 25% de comisión es el único ingreso económico de la compañía en cada uno de los países donde se desarrolla. ""Por el momento, no estamos enfocados en que necesitamos obtener beneficios económicos inmediatos en esta región"", aseguró Macdonald, quien también utilizó el ejemplo del país vecino Brasil, que hace semanas fue revelado como el segundo principal mercado de Uber en todo el mundo. Más conductores, menos viajes La caída del salario en el país provocó que cada vez más argentinos buscaran nuevas alternativas de ingresos en su economía personal. En Uber, eso significó un gran incremento de conductores pero también generó preocupación entre los mismos choferes. ""Lo que está ocurriendo es que hay cada vez más conductores y menos trabajo para los que ya estábamos. Y también es cierto que todos vienen a Uber porque todavía no nos cobran comisión"", aseguró Jorge, un conductor de 62 años. Según Fernández Aramburu, el promedio de permanencia de un conductor activo de Uber en Latinoamérica es de tres meses, por lo que todavía significa que utilizan el servicio como una alternativa temporal. En principio, el objetivo de la compañía para 2019 es poder agilizar las negociaciones con el Estado argentino para poder finalmente legalizar el servicio y poder empezar a contar con el beneficio de las comisiones por los trayectos. ""Algo que quedó en evidencia de nuestra inversión en la Argentina es que fuimos capaces de crecer muchísimo aun sin poder ofrecer la conveniencia de todos los métodos de pago"", aseguró Macdonald. SEGUÍ LEYENDO: Uber: ¿el final de un conflicto?",25/09/18,economia,Argentina registró el mayor crecimiento de Uber en todo el mundo,https://www.infobae.com/economia/2018/09/25/argentina-registro-el-mayor-crecimiento-de-uber-en-todo-el-mundo/&sa=U&ved=0ahUKEwjs2cfPgJneAhXus1kKHWubC_sQFggfMAI&usg=AOvVaw3YOaiS6SMJkkQh2UWzJHnf
3,True,,"Con la llegada de Guido Sandleris a la presidencia del Banco Central, también se sumará a la entidad la economista Veronica Rappoport, que actualmente vive en Londres, y pasará a ocupar el cargo de vicepresidente segunda, que estaba vacante. ¿Quién es la joven economista que integrará el equipo de Sandleris? Actualmente radicada en Inglaterra, es profesora asociada de la London School of Economics and Social Science, pero tuvo un breve paso por la administración pública entre 1999 y 2000, cuando se desempeñó como asesora en el Ministerio de Economía durante el gobierno de la Alianza. También fue consultora del BID. La nueva vicepresidenta segunda del Banco Central es muy cercana al ministro del Interior, Rogelio Frigerio, y de mucha confianza de Guido Sandleris. Su padre, el economista Luis Rappoport, es actualmente director nacional en el ministerio del Interior. Muy activa en las redes sociales, donde se la conoce como Verito Rap y su imagen es la de una anciana con sombrero y pañuelo verde al cuello, la economista decidió cerrar su cuenta de Twitter. En ese espacio, solía compartir sus opiniones sobre temas económicos. ""Un pequeño paso para el Banco Central, una gran pérdida para Tuiter Argentina"", se lamentaban algunos de sus seguidores. Rapopport se recibió de economista en la Universidad de Buenos Aires  en 1996. Y luego completó su formación académica con un máster en Economía en la Universidad Torcuato Di Tella. También tiene un doctorado en el MIT (Massachusetts Institute of Technology). En una entrevista de enero del año pasado, publicada en el diario Clarín, Rappoport consideraba que el tipo de cambio ""es claramente una variable crucial para empresas exportadoras o aquellas que compiten con importaciones. Pero no quiero confundir políticas para lidiar con fluctuaciones coyunturales que pueden y deben usarse, por supuesto, con estrategias de desarrollo a mediano plazo"", señaló. Tambien se lamentó d que la Argentina está caracterizada por vivir de ""urgencia en urgencia"", aunque advirtió que hay gente que está pensando a mediano plazo.",25/09/18,economia,"Quién es Verónica Rappoport, la economista que acompañará a Sandleris en el BCRA",https://www.infobae.com/economia/2018/09/25/quien-es-veronica-rappoport-la-economista-que-acompanara-a-sandleris-en-el-bcra/&sa=U&ved=0ahUKEwjs2cfPgJneAhXus1kKHWubC_sQFgglMAM&usg=AOvVaw295ECZ7pwpLz9Se0vZLJXp
4,True,Román Lejtman,"(Enviado especial a EEUU) El presidente Mauricio Macri se reunirá a las 15:30 de Nueva York -16:30 de la Argentina- con la directora del Fondo Monetario Internacional (FMI), Christine Lagarde. El cara a cara, durante el cual se terminarán de definir los detalles del nuevo acuerdo entre el gobierno argentino y el organismo multilateral de crédito, había sido anticipado por Infobae. El anuncio del entendimiento es ""inminente"", según adelantó el ministro de Hacienda, Nicolás Dujovne, en un encuentro con periodistas que se realizó en el hotel donde se hospeda parte de la delegación argentina que viajó a EEUU para la Asamblea General de las Naciones Unidas. El diálogo entre Macri y Lagarde se desarrollará antes de que el jefe de Estado argentino exponga ante el pleno de la ONU y en medio de la incertidumbre que hay en Buenos Aires por la sorpresiva renuncia de Luis Caputo al Banco Central. Anoche, los líderes compartieron la mesa en una cena de gala de la que también participaron la primera dama Juliana Awada y el presidente del BID, Luis Moreno.",25/09/18,economia,Mauricio Macri se reúne con Christine Lagarde para cerrar el acuerdo con el FMI,https://www.infobae.com/economia/2018/09/25/mauricio-macri-se-reune-con-christine-lagarde-para-cerrar-el-acuerdo-con-fmi/&sa=U&ved=0ahUKEwjs2cfPgJneAhXus1kKHWubC_sQFggrMAQ&usg=AOvVaw1swRkd251HeVGtwknbQeZN
5,True,,"San Lorenzo perdió 2-0 con Nacional en Uruguay y quedó eliminado de la Copa Sudamericana por el tanto de visitante. En el Estadio Gran Parque Central de Montevideo, Matías Zunino, a los 11 minutos de partido, y Gonzalo Bergessio, a los 10′ del complemento, le dieron el triunfo y la clasificación al equipo uruguayo, que en la ida en el Nuevo Gasómetro había caído por 3-1. SEGUÍ LEYENDO: ¿Una dedicatoria para San Lorenzo? Gonzalo Bergessio explicó su llamativa celebración ""Pampa"" Biaggio lamentó la eliminación de San Lorenzo y despejó los rumores de renuncia El árbitro del encuentro fue el colombiano Wilmar Roldán, quien se equivocó al expulsar a Bautista Merlini de San Lorenzo a los 30′ del segundo tiempo. El ""Pampa"" Biaggio contó con el regreso a la titularidad del capitán Nicolás Blandi tras haber dejado atrás una lesión en la pierna derecha. Sin embargo, el atacante sintió un tirón en el mismo sector y fue reemplazado por Alexis Castro a los 37′ del primer tiempo. Nacional jugará en la siguiente fase con el vencedor de Fluminense de Brasil y Deportivo Cuenca de Ecuador, que ya se enfrentaron en el choque inicial con un triunfo brasileño por 2-0. FORMACIONES  Estadio: Gran Parque Central (Montevideo) Árbitro: Wilmar Roldán Televisación: Fox Sports",25/09/18,deportes-2,San Lorenzo perdió en Uruguay ante Nacional y quedó eliminado de la Sudamericana,https://www.infobae.com/deportes-2/2018/09/25/san-lorenzo-nacional-de-uruguay-octavos-de-final-vuelta-copa-sudamericana/&sa=U&ved=0ahUKEwjOr43TgJneAhWHr1kKHQy2DycQFggTMAA&usg=AOvVaw2EOQmyGsMq6-mbjIOzcaWd
6,True,,"Nacional de Uruguay ganó 2 a 0, eliminó a San Lorenzo y avanzó a los cuartos de final de la Copa Sudamericana. Los tantos fueron marcados pro Zunino y Gonzalo Bergessio, justo un ex futbolista del ""Ciclón"". ""Lavandina"" tuvo un festejo particular al decretar el triunfo de su equipo. ¿Fue con dedicatoria para la dirigencia de San Lorenzo? Tras recibir un pase profundo, y con una gran corrida, Bergessio definió a un lado de Nicolás Navarro. De inmediato, se dirigió hasta el córner, revoleó de una patada el banderín y festejó de cara a su público. Sin embargo, sorprendió el gesto: hizo la mueca de que lo llamen por teléfono nuevamente. Vale recordar que Gonzalo Bergessio no tuvo un gran paso por San Lorenzo y se fue en condición de libre. En las redes sociales de inmediato relacionaron esta celebración con un pase de facturas para los dirigentes del club de Boedo. El propio delantero lo explicó: ""El festejo fue para un amigo, nada más"". Habrá que creerle.",25/09/18,deportes-2,¿Una dedicatoria para San Lorenzo? Gonzalo Bergessio explicó su llamativa celebración,https://www.infobae.com/deportes-2/2018/09/25/una-dedicatoria-para-san-lorenzo-gonzalo-bergessio-explico-su-llamativa-celebracion/&sa=U&ved=0ahUKEwjOr43TgJneAhWHr1kKHQy2DycQFggZMAE&usg=AOvVaw36yslbvDkxRyDpKu0xXbsp
7,True,,"La esposa de Ezequiel Garay, Tamara Gorro, una reconocida modelo y conductora televisiva en España, cuenta con más de 1 millón de seguidores en Instagram y decidió utilizar su cuenta en la red social para enviarle un mensaje al mundo. En la imagen que subió se la puede observar de espalda, totalmente desnuda y con los brazos abiertos, sobre una montaña. La misma la acompañó con las siguientes palabras: ""Mujer en libertad. Me desnudo porque quiero. Me desnudo porque no hago daño a nadie. Me desnudo porque no soy diferente. Me desnudo porque soy libre"". El futbolista del Valencia, al ver el desnudo integral que su pareja publicó, tuvo una inesperada y graciosa reacción. ""No sabía que tenía este tesoro en casa"", fue la broma que esbozó al firmar la foto. Tamara Gorro, por su parte, respondió la frase de su marido con tres emoticones: una cara llorando de la risa, un rostro sonrojado y uno enamorado, con dos corazones en vez de ojos. SEGUÍ LEYENDO: El ""desaparecido"" Ezequiel Garay habló de los rumores de su renuncia a la Selección La historia detrás del ""no"" de Ezequiel Garay a la Selección argentina De mujer acomplejada a top model: el cambio de la esposa de Ezequiel Garay",25/09/18,deportes-2,La reacción de Ezequiel Garay al ver el desnudo integral de su esposa,https://www.infobae.com/deportes-2/2018/09/25/la-reaccion-de-ezequiel-garay-al-ver-el-desnudo-integral-de-su-esposa/&sa=U&ved=0ahUKEwjOr43TgJneAhWHr1kKHQy2DycQFggfMAI&usg=AOvVaw3bcePsCgLgfGfXAGLImYY4
8,True,,"El principal apuntado a llegar a Boca para reemplazar al lesionado Esteban Andrada en la recta final del año es Marcos Díaz. Sin embargo, por el momento no hay acuerdo con Huracán y hay una alternativa en el radar: Guido Herrera, arquero de Talleres de Córdoba. En diálogo con TyC Sports, el guardameta de 26 años apeló a la cautela mientras su nombre reflota en los pasillos de la Bombonera: ""Es algo lindo que se hable, pero lo tomo con tranquilidad. Que pregunten por mí es lindo porque quiere decir que estoy haciendo las cosas bien, aunque a mí no me llamó nadie"". Herrera aseguró que ni el entrenador de la T, Juan Pablo Vojvoda, ni ningún dirigente le hablaron por la posibilidad de ser tranasferido al Xeneize, por eso él sigue con la cabeza en Córdoba: ""Escucho, no soy ajeno a lo que se habla, pero si me hago la cabeza o pienso mucho en las cosas por ahí me desvío un poco. Quiero arrancar bien la semana y me enfoco en el partido con Patronato del fin de semana"". El nacido en Río Cuarto anticipó que estará predispuesto a escuchar alguna oferta y fue elogioso con Marcos Díaz: ""Cuando jugamos acá (con Huracán) empatamos 0 a 0 y fue figura, le dije que es un monstruo. Trato de verlo a él y a otros… Es un arquerazo"". SEGUÍ LEYENDO El fuerte cruce entre Marcos Díaz y un hincha de Huracán por su posible pase a Boca Fotos inéditas de la intercontinental de Boca ante Real Madrid Un titular de Boca se lesionó y se perderá la revancha con Cruzeiro por la Libertadores",25/09/18,deportes-2,"Habló Guido Herrera, la alternativa a Marcos Díaz para el arco de Boca",https://www.infobae.com/deportes-2/2018/09/25/hablo-guido-herrera-la-alternativa-a-marcos-diaz-para-el-arco-de-boca/&sa=U&ved=0ahUKEwjOr43TgJneAhWHr1kKHQy2DycQFgglMAM&usg=AOvVaw3142CgO0YodOMyVIHAZczt
9,True,,"A un mes del debut de Emiliano Rigoni con la camiseta del Atalanta, en Europa lo tienen apuntado como uno de los argentinos con mayor proyección, al punto tal que lo comparan con Cristiano Ronaldo, quien lleva la misma cantidad de goles convertidos en la Serie A. ""Estoy viviendo un inicio soñado. Marcar en dos estadios como el Olímpico y el San Siro, con la historia que tienen y ante dos clubes con tanto peso en la liga italiana, es un privilegio. No se compara con nada"", le manifestó el mediocampista cordobés, que le anotó un doblete a la Roma y un tanto agónico al Milan. El polaco Krzysztof Piątek lidera la tabla de artilleros con 5, mientras Rigoni y Cristiano cosecharon 3 cada uno. ""Es una locura que me comparen con él. En este momento estamos empatados en tantos y espero que en lo personal puedan llegar muchos más. Cristiano le ha dado un salto de calidad a la liga. Todo e mundo está prestándole más atención a la Juventus y al torneo"", expresó el ex Independiente y Belgrano. Rigoni (25 años) recordó que cuando daba sus primeros pasos en primera le había convertido a Boca en la Bombonera con la camiseta del Pirata. ""Messi ya nos tiene acostumbrados y Agüero lo hace muy bien en la Premier League"", mencionó cuando le consultaron por los únicos dos compatriotas que anotaron más que él en las grandes ligas europeas. Estuvo en consideración de Jorge Sampaoli para ir al Mundial de Rusia, pero finalmente quedó afuera de la lista de convocados. Al respecto, reflexionó: ""En el último semestre en el Zenit no tuve buenos momentos y no fue una sorpresa no ir a la Copa del Mundo. Obviamente, la ilusión y las expectativas las tuve hasta el final. Siempre hay ilusión y ganas de volver a jugar con la Selección. Trabajaré para lograrlo"". SEGUÍ LEYENDO La reacción de un hincha de Chelsea ante un blooper de Pablo Zabaleta Dos argentinos, un chileno y un brasileño, ganadores de The Worst: los peores de la temporada La lección del entrenador del Betis con un mensaje a los propios simpatizantes de su equipo",25/09/18,deportes-2,El ex Independiente al que en Italia comparan con Cristiano Ronaldo,https://www.infobae.com/deportes-2/2018/09/25/emiliano-rigoni-el-ex-independiente-al-que-en-italia-comparan-con-cristiano-ronaldo/&sa=U&ved=0ahUKEwjOr43TgJneAhWHr1kKHQy2DycQFggrMAQ&usg=AOvVaw2rcegTsYeLmr9n9Z7Lt6Kf
