,abierta_comentarios,autor,cuerpo,fecha,seccion,titulo,url
0,True,,"Luego de más de una década, varias empresas volverán a exportar gas desde la Argentina a Chile. La secretaría de Energía informó este lunes que autorizó exportaciones de gas a las empresas Total Austral, Pan American Sur y Compañía General de Combustibles (CGC), en el marco del nuevo procedimiento de exportaciones, que está vigente a partir de este año. La posibilidad de retomar las exportaciones de gas a Chile se debe a los ""excedentes de producción de gas natural generados a partir de las políticas llevadas adelante en los últimos años en materia de incentivos a la producción"", explicaron desde la secretaría de Energía, que encabeza Javier Iguacel. Desde el lado chileno, el comprador es la firma Methanex Chile. Las cantidades autorizadas para cada exportación son de 750.000 metros cúbicos por día y por un volumen total de más de 479 millones de metros cúbicos. En todos los casos, los envíos serán ""interrumpibles"" y por un periodo que se extiende hasta el el 1° de junio de 2020. Además, en la subsecretaría de Recursos Hidrocaburíferos, se encuentran en proceso de análisis y en tramitación otros ocho pedidos de autorización de exportación de gas natural a Chile. Uno de ellos, de la empresa Wintershall Energia, ya fue dado a a publicidad por parte de la secretaría para los terceros interesados locales que eventualmente demanden el gas natural a exportar. Las autorizaciones serán otorgadas en la medida que no se afecte la seguridad del abastecimiento del mercado interno, según se aclara en el nuevo régimen de exportaciones. Y la información que presenten las empresas para obtener las autorizaciones deberá ser pública. Por otra parte, después de más de 15 años, la Argentina también volvió a exportar energía eléctrica a Brasil: los excedentes de producción de gas en la cuenca Neuquina (con origen en Vaca Muerta) sumados a la disponibilidad de grupos de generación térmica permitieron presentar una oferta de exportación de energía a precios competitivos al sistema eléctrico brasileño. ""Si bien anteriormente Argentina había realizado exportaciones de energía a Brasil, esas habían tenido el carácter de 'devoluciones' por importaciones de emergencia realizadas por nuestro país"", explicó el Ministerio de Hacienda a través de un comunicado. ""El gas utilizado es parte de los excedentes de gas en la cuenca Neuquina que no pueden reemplazar la importación de gas desde Bolivia en la zona norte del país, por razones técnicas vinculadas a la capacidad de transporte de dicho fluido"", aclararon. La exportación está programada por una semana, hasta el viernes 28 de setiembre.",24/09/18,economia,El Gobierno autorizó las primeras exportaciones de gas a Chile,https://www.infobae.com/economia/2018/09/24/el-gobierno-autorizo-las-primeras-exportaciones-de-gas-a-chile/&sa=U&ved=0ahUKEwj2p8LUvpveAhXBFZAKHcUhCNkQFggTMAA&usg=AOvVaw3GqmpoUcOeltHjUELTbrai
1,True,Luis Beldi,"Cuando el Gobierno asumió, imaginó una lluvia de dólares que después se transformaría en brotes verdes. La lluvia llegó por el lado menos deseado, el endeudamiento y los dólares golondrinas que vinieron a hacer grandes diferencias en el mercado financiero a favor de que la Argentina había devaluado, salido del default y cumplido con los pagos de dólar futuro. Los brotes verdes no aparecieron porque los dólares no fueron a inversiones productivas y la sequía de 2018 le restó USD 8.500 millones a las exportaciones. Un año duró la luna de miel. Fue tanto el ingreso de dólares por toma de deuda del gobierno y las provincias, más los que trajo el blanqueo y los particulares, que se llegó a hablar de un tsunami verde. Pero todo terminó el 28 de diciembre pasado, cuando anunciaron la baja de las tasas en pesos que eran el único sostén real de la lluvia de dólares. El inversor, entonces, transformó las enormes ganancias en pesos a dólares. Hasta ese momento, la ganancia de una cartera de inversión de mediano riesgo era de 7% mensual en dólares. Hubo acciones como las empresas de electricidad o gas, que subieron hasta 300% en dólares en cuatro meses. La salida fue tan estrepitosa como la entrada. Todos se fueron por la misma puerta casi al mismo tiempo y el dólar se disparó 115% en ocho meses. Llegó a tocar $44 el último día de agosto en el mercado mayorista. Los primeros en abandonar el barco no fueron las mujeres y los niños, sino los extranjeros que tenían Lebac a los que les comenzaba a regir el impuesto a la renta financiera. Esa salida costó USD 2 mil millones e inauguró la fuga masiva de capitales. Ningún remedio parecía ayudar. La euforia por pasar de mercado fronterizo a emergente duró 48 horas. La noticia del acuerdo con el FMI logró que el dólar bajara durante cuatro ruedas consecutivas y después de disparara a niveles récord. Se secó la plaza de pesos para que no se compraran dólares. Se subastaron de distintas formas. Nada dio resultado y el dólar llegó adonde debía llegar, porque la lluvia de dólares provocó un enorme atraso en el tipo de cambio. Pero pronto se dieron cuenta que el dólar iba más allá de lo conveniente y no parecía tener freno. No tuvieron más remedio que repetir la receta que fracasó en el pasado. Volvió el ""carry trade"", como se llama al movimiento que atrae dólares prometiendo cuantiosas ganancias en moneda local, para después transformarlas en las ganancias en dólares más altas del mundo.  Pero esta vez, para persuadir al mercado, se mejoraron las condiciones del pasado. Se les anunció un mayor ingreso de dólares por parte del FMI, se emitieron Lecap en pesos a entre seis meses y un año con tasa de interés efectivas de hasta 50% anual. En otras palabras, el que ahora invierte en las Lecap más largas que vencen el 30 de setiembre de 2019, solo pierde si el dólar ese día supera el valor de $57. Como para que no haya lugar a dudas, el Banco Central anunció un dólar controlado que tendrá un piso cercano a $33, valor al que saldrá a comprar divisas para subirlo y un techo que puede llegar a $44, valor al que saldrá a vender. Una flotación regulada y una tasa de 50% efectiva anual, tentó a volver a los que se fueron. El movimiento se va a ver con intensidad en la semana. Pero los exportadores de carne por caso, con un dólar a $37, como les retienen $4 exportarán a $33 y los costos no dan. Además, la inflación será de 6% en septiembre y también será elevada en octubre. Pero esos datos no inquietan a los tenedores de dólares golondrinas. Septiembre y octubre serán meses donde pondrán a prueba al Banco Central. Si todo va bien, los dólares golondrinas seguirán llegando. Pero estas divisas no aseguran que baje la inflación, que la caída del dólar se traduzca en caída de precios internos, que ceda el ajuste de las tarifas, que se salga de la recesión y que se recuperen los salarios. Ese no es territorio del Banco Central, sino del Ministerio de Hacienda, que maneja Nicolás Dujovne. Si el endeudamiento es más veloz que la reducción del gasto, la economía tiene rumbo de colisión. Ya se lo advirtieron en el pasado reciente disparando sin escalas el dólar de $18 a $44. Ahora, la historia se repite y se reza para que esa colisión sea después de las elecciones. A diferencia del kirchnerismo no creen que llegarán a octubre del año que viene con lo justo, sino con una economía que comenzará a moverse por las exportaciones, en particular del agro, el sector automotor, la mejora de Brasil y las inversiones de Vaca Muerta. En la lista de temores está lo que pueda suceder en Estados Unidos en su guerra comercial con China y en el futuro de las tasas de interés norteamericanas. En pocas palabras, hay certezas para los próximos meses y grandes dudas para los siguientes.",24/09/18,economia,"Con mejores condiciones para los inversores, volvió el ""carry trade""",https://www.infobae.com/economia/2018/09/24/con-mejores-condiciones-para-los-inversores-volvio-el-carry-trade/&sa=U&ved=0ahUKEwj2p8LUvpveAhXBFZAKHcUhCNkQFggZMAE&usg=AOvVaw14FGkDE79p8_SDdfsVPaLf
2,True,,"Las ventas por cantidades en los supermercados cayeron un 3,7% durante julio, comparadas con el mismo mes del año anterior, mientras que en los centros de compras la contracción llegó al 3,8%, según informó el Instituto Nacional de Estadística y Censos (INDEC). El consumo en los centros de compras o shoppings reflejó la primera caída después de once meses consecutivos de continuo crecimiento en la medición interanual. Las bajas en las ventas en los supermercados en julio es la cuarta mensual en el año y se produjo después de un bimestre de variaciones interanuales positivas. En los supermercados, las ventas a precios constantes durante julio de 2018 sumaron un total de $21.869 millones, lo que representa una caída del 3,7% respecto a julio de 2017, informó el INDEC. El ente estadístico utiliza como período base para este cálculo los precios de abril de 2016. En cuanto a las ventas a precios corrientes para julio de 2018 relevadas en cadenas de supermercados por la encuesta sumaron un total de $37.443 millones, lo que representa un aumento de 25,9% respecto al mismo mes del año anterior. En cuanto a la encuesta de los shoppings o centros de compras, el INDEC informó que las ventas a precios constantes de abril de 2016, en julio de 2018, alcanzaron un total de $4.673,6 millones, lo que representa una disminución de 3,8% respecto al mismo mes del año anterior. Las ventas a precios corrientes en julio de 2018 alcanzaron en los shoppings un total de $7.192,5 millones, lo que representa un aumento nominal de 21,3%, respecto al mismo mes del año anterior.",24/09/18,economia,Las ventas en supermercados y shoppings cayeron casi 4% en julio,https://www.infobae.com/economia/2018/09/24/las-ventas-en-supermercados-y-shopping-cayeron-casi-4-en-julio/&sa=U&ved=0ahUKEwj2p8LUvpveAhXBFZAKHcUhCNkQFggfMAI&usg=AOvVaw18eDwFJmS5S5wbZSdRLq4R
3,True,,"El presidente Mauricio Macri confirmó que intentará reelegir su mandato el año que viene, en las elecciones presidenciales de 2019. ""I am ready to run"", contestó en una entrevista transmitida en vivo en inglés por Bloomberg, una agencia internacional especializada en noticias económicas. En español: ""Estoy listo para competir"". ""Estamos construyendo un nuevo país, una nueva sociedad basada en la cultura del trabajo, en la cultura de que tenemos que mejorar sin trucos ni atajos"", argumentó. Al ser consultado sobre diversos temas, Macri aseguró que ""no hay ninguna chance"" de que la Argentina vuelva a caer en default y se mostró optimista sobre las negociaciones con el Fondo Monetario Internacional, pero evitó dar detalles sobre los alcances del nuevo entendimiento. ""Estamos negociando desde el día que anuncié que volveríamos a hablar y ahora estamos muy cerca del acuerdo"", aseguró. ""El acuerdo nos dará más certeza para el programa financiero de la Argentina, más apoyo por parte del FMI. Aún no puedo decirlo porque estamos negociando, pero va a brindar más confianza al mercado"", anticipó el presidente. ""Estamos comprometidos con que el plan de cinco años para alcanzar el equilibrio fiscal se complete en el próximo año y vamos a hacer un gran esfuerzo"", agregó. Sin embargo, el periodista de Bloomberg le recordó el anuncio del nuevo acuerdo con el FMI que el propio Macri realizó el 29 de agosto pasado, sin tener aún la confirmación oficial del organismo. ""Estamos cerca de cerrar un acuerdo, va a ser beneficioso para el programa y para la Argentina"", reiteró el presidente, que evitó dar precisiones sobre el monto extra que podría recibir la Argentina. Macri también aprovechó para descartar cualquier posibilidad de que la Argentina caiga en default. ""Contamos con el apoyo que recibimos de otros países y especialmente de los Estados Unidos. Con el nuevo valor del tipo de cambio estamos balanceando nuestras cuentas externas y, lo más importante, tendremos un nuevo récord de producción de granos"", detalló para despejar dudas. En la entrevista, el presidente negó también la implementación de medidas como controles de cambios o un régimen de convertibilidad. ""Estamos trabajando con el equipo del FMI para presentar algo que va a traer más confianza. Estará claro cuál es nuestra política monetaria, hacia dónde vamos. Será la parte mas importante del acuerdo"", adelantó. Y aseguró que está confiando en que la inflación bajará dramáticamente y se reducirá la necesidad de financiamiento externo. Con todo, el presidente confirmó que el país atravesará entre cinco y seis meses de recesión, ""que serán muy duros"", pero confía en que la recuperación vendrá de la mano de las exportaciones en alza y las reservas de shale gas y petróleo de Vaca Muerta, que va a permitir convertir al país en un ""gran jugador"" en el mercado global. Durante la charla, en varias oportunidades, Macri destacó que a diferencia de otras crisis que atravesó el país, esta vez no se cambiarán las reglas. ""No vamos a poner controles de capitales, no vamos a hacer modificaciones del sistema financiero, ni ninguna de esas cosas estúpidas que hicimos en el pasado. Vamos a integrarnos cada vez más al mundo, a crear confianza en lo que estamos haciendo"", explicó. Con todo, Macri enfatizó que no hay un Plan B —en caso de que la Argentina no pueda cumplir con su programa financiero— porque el país está ""afrontando todos sus desafíos"". Más allá de las cuestiones de la economía local, Macri se manifestó en contra de una posible intervención militar en Venezuela. ""Necesitamos que Venezuela acepte fuerzas humanitarias. Se están violando los derechos humanos de los venezolanos diariamente. Tenemos que ser solidarios con los venezolanos que están sufriendo las consecuencias de una dictadura"", dijo.",24/09/18,economia,"Mauricio Macri, sobre su reelección: ""Estoy listo para competir""",https://www.infobae.com/economia/2018/09/24/mauricio-macri-no-hay-ninguna-chance-de-que-argentina-caiga-en-default/&sa=U&ved=0ahUKEwj2p8LUvpveAhXBFZAKHcUhCNkQFgglMAM&usg=AOvVaw1N2clM6K_u51PvO3Jqb3y_
4,True,Román Lejtman,"""Mal podría dar un monto cuando no hay monto definido. Estamos trabajando para tener un buen acuerdo, que funcione para despejar incertidumbres de los inversores"", aseguró esta tarde en Nueve York, sobre el nuevo acuerdo que el Gobierno negocia con el FMI, el ministro de Hacienda Nicolás Dujovne. ""Es mucho más importante el uso inteligente del programa y los recursos que el tamaño. Seguimos trabajando para maximizar la calidad del acuerdo. No hay ningún apuro: estamos convencidos de que estamos llegando al mejor acuerdo posible. No van a escuchar de mí precisiones hasta que no las tenga"", destacó el funcionario que acompañó ayer al presidente Mauricio Macri en una serie de reuniones con banqueros e inversores en ""la Gran Manzana"". Además, ante una pregunta de Infobae, Dujovne del contestó a Pablo Micheli, secretario general de la CTA autónoma, quien en un acto previo al paro de mañana aseguró: ""No alcanza con un paro, o se cae este modelo económico o estos tipos dejan el gobierno"". ""La sociedad argentina no comparte la opinión del señor Micheli, apoyan este proceso de cambio y estoy seguro de que nos van a seguir acompañando"", afirmó el ministro. Otras frases de Dujovne – ""Entre el primer acuerdo con el Fondo y el segundo tuvimos shocks adicionales en emergentes y la causa de los cuadernos que secó el financiamiento para la Argentina"". – ""La duda más importante de los inversores tiene que ver con el ciclo político y la continuidad de las reformas. Miran el largo plazo y están muy interesados en que el proceso de cambio continúe"". – ""Vemos mucho apoyo y comprensión al proceso que llevamos adelante. Es difícil salir de una economía con tantas distorsiones"". – ""El plan es este: profundizar el camino hacia el equilibrio fiscal y la mejora las cuantas externas. La turbulencia nos llevó a genera una aceleración del el proceso de convergencia a una posición más sólida. Ese es plan de la Argentina y es el plan que va a funcionar"". – ""Los inversores son profesionales y saben que no podemos información que no es pública. No podríamos darlo porque no sabemos si es correcta o no. Corresponde que se hagamos de manera formal: una vez que el Fondo lo apruebe daremos a conocer los términos"". – ""El Banco Central ya tiene un swap con China y se conversa desde hace tiempo sobre la posibilidad de ampliarlo, pero ellos tiene que dar las precisiones. Siempre buscamos más recursos y maximizar los recursos financieros que tiene la Argentina"". – ""Miramos con atención lo que ocurre en el mundo. Estamos expuestos a los mismos shocks que están expuestos los demás países emergentes, en una economía que comenzó sus reformas hace dos años y medio. Por eso tuvimos que recurrir al Fondo. Deseamos que la volatilidad financiera sea la menor posible"". – ""No hablamos con los inversores de eso (de bandas cambiarias). La Argentina, con el proceso de estabilización, lanzó un esquema de metas de inflación con la tasa como principal instrumento y en medio de un país que tenía que corregir los precios relativos. Ese esquema probablemente no dio los resultados que estábamos buscando. Con el Fondo discutimos como relanzar el esquema monetario, siempre partiendo de la base del tipo de cambio flotante y libre movilidad de capitales"".",24/09/18,economia,"Nicolás Dujovne contestó las amenazas de los gremialistas: ""La sociedad argentina no comparte sus opiniones""",https://www.infobae.com/economia/2018/09/24/nicolas-dujovne-estamos-convencidos-de-que-estamos-llegando-al-mejor-acuerdo-posible/&sa=U&ved=0ahUKEwj2p8LUvpveAhXBFZAKHcUhCNkQFggrMAQ&usg=AOvVaw2SCwfvVwl7Qv70EBPIudEq
5,True,,"Aldosivi derrotó a Belgrano en Mar del Plata y lo complicó en la tabla de promedios. En el José María Minella, el Tiburón se impuso por 2-0 y se prendió a la parte de arriba de la tabla. En el inicio del encuentro, el dueño de casa dominó la posesión del balón pero no pudo generar claras chances de peligro. El Pirata, por su lado, tuvo en los pies de Juan Brunetta la oportunidad de marcar a través de un tiro libro que ejecutó por debajo de la barrera pero se encontró con la buena respuesta del arquero Luciano Pocrnjic. Ya en el complemento, el dueño de casa mejoró en su juego y se mostró más vertical a la hora de atacar. A los 32 minutos, Cristian Chávez aprovechó un error en defensa de la visita, interceptó una pelota y definió de derecha cruzado para poner en ventaja a su equipo. Decididos a buscar la igualdad, los de Córdoba se volcaron al ataque y dejaron desprotegido el fondo del campo. Chávez aprovechó los espacios, ingresó al área por la izquierda y fusiló a César Rigamonti para decretar el 2-0 final. Con este resultado, Aldosivi suma 12 unidades productos de cuatros victorias obtenidas y se trepó a la parte de arriba de la tabla. Belgrano quedó a un paso de la zona del descenso y deberá luchar por mantener la categoría. Formaciones: Posiciones:",24/09/18,deportes-2,Aldosivi superó a Belgrano en Mar del Plata y lo complicó en la tabla de promedios,https://www.infobae.com/deportes-2/2018/09/24/aldosivi-belgrano-fecha-6-superliga-2018/&sa=U&ved=0ahUKEwi017XYvpveAhUECpAKHSgLDssQFggTMAA&usg=AOvVaw3mkjbZ6NEDcKH0-9FNaDGm
6,True,,"Racing venció a Unión de Santa Fe y continúa como único líder de la Superliga. El gol lo hizo Augusto Solari a los 13 minutos del complemento. El encuentro correspondiente a la sexta fecha del torneo se jugó en el estadio Presidente Perón, fue controlado por el árbitro Facundo Tello y televisado por Fox Sports Premium. La primera etapa Racing fue de menor a mayor. Si bien el dominio de la pelota casi nunca lo perdió, los minutos iniciales no contó con jugadas de peligro. A los 18′ llegó una situación clara para marcar: buen pase en profundidad de Lucas Orban que terminó con una exigida definición de ""Licha"" López por encima del arquero Nereo Fernández, quien alcanzó a rozar con sus dedos y envió la pelota al córner. Unión tuvo su oportunidad luego de una mala salida de Racing, pero el contragolpe terminó con un remate desde la puerta del área tapado. Sobre el final, la ""Academia"" volvió a sorprender con un cabezazo de Jonathan Cristaldo, que volvió a generar una gran reacción de Nereo Fernández. En el complemento, el partido se volvió más chato y con pocas llegadas. El dominio se lo dividieron, pero con pocas chances concretas. A Racing le costó entrarle a un equipo ""tatengue"" que se mostró sólido en defensa y apostó al contragolpe. Sin embargo, en una pequeña distracción el equipo de Madelón sufrió el gol: Damián Martínez falló en salida y tras un gran centro de Eugenio Mena, quien minutos antes había sorprendido con un remate por arriba, apareció Augusto Solari para anotar de cabeza la apertura del marcador. Si bien Racing sufrió algunos problemas defensivos en los minutos finales, fue un merecido triunfo el que logró el equipo de ""Chacho"" Coudet, que sigue como único líder del campeonato. Vale recordar que el futbolista Ricardo Centurión, quien en la semana realizó trabajos de kinesiología por sufrir una distensión del músculo semimembranoso del miembro inferior derecho, no fue citado. Por la séptima fecha, Racing visitará a Argentinos Juniors (sábado, a partir de las 20), mientras que Unión de Santa Fe recibirá a Gimnasia y Esgrima La Plata  (domingo, desde las 15:30) Formaciones:  Estadio: Presidente Perón (Racing). Árbitro: Facundo Tello. TV: Fox Sports Posiciones:",24/09/18,deportes-2,Racing venció a Unión y continúa como único líder en la Superliga,https://www.infobae.com/deportes-2/2018/09/24/racing-union-fecha-6-superliga-2018/&sa=U&ved=0ahUKEwi017XYvpveAhUECpAKHSgLDssQFggZMAE&usg=AOvVaw1WKfCNqcO1ojciU_q2Ffky
7,True,,"River dio a conocer la lesión de Gonzalo Martínez. ""Lesión muscular grado 1 en bíceps femoral izquierdo"", figura en el parte médico. De esta manera, el volante tendrá entre 10 y 14 días de recuperación.[Parte médico] Gonzalo Martínez: lesión muscular grado 1 en bíceps femoral izquierdo. pic.twitter.com/yheUuLVlqt— River Plate (@CARPoficial) September 24, 2018 Pese al optimismo del ""Pity"", salvo que su evolución sea muy rápida y en tiempo récord, se perdería el duelo de revancha frente a Independiente, del próximo 2 de octubre en el Monumental, por los cuartos de final de la Copa Libertadores. La ida en Avellaneda terminó 0-0. El volante ofensivo autor del primer gol y una de las figuras en el triunfo en el Superclásico, hasta su lesión que lo obligó a salir a los 22 minutos de partido, comenzó con los ejercicios de recuperación en el estadio de River. Allí también trabajan los futbolistas que no actuaron en la Bombonera.#Entrenamiento⚽️ En el Monumental, los jugadores que no participaron del partido de ayer realizaron una entrada en calor y ejercicios físico-técnicos en cancha reducida. pic.twitter.com/xlTKE5dAdp— River Plate (@CARPoficial) September 24, 2018 Una baja sensible la de Gonzalo Martínez para River y también para la selección argentina, porque iba a ser convocado por Lionel Scaloni para los compromisos amistosos ante Brasil e Irak. ""Hay que dar la cara en los partidos importantes. Después de lo que dijo Pratto se armó una revolución. Si nosotros no respondíamos de esa manera la íbamos a pasar mal. Representamos a más de medio país de la mejor manera"", analizó el ex Huracán. SEGUÍ LEYENDO: Alejando Fantino, tras la derrota de Boca en el Superclásico: ""¿Por qué no copiamos a Gallardo?"" La bestial reacción de un hincha de River contra una simpatizante por una bandera Otro show de Horacio Pagani en la TV: furia, escándalo, accidente y risas en su análisis del Superclásico",24/09/18,deportes-2,"River confirmó el grado de lesión del ""Pity"" Martínez",https://www.infobae.com/deportes-2/2018/09/24/river-confirmo-el-grado-de-lesion-del-pity-martinez/&sa=U&ved=0ahUKEwi017XYvpveAhUECpAKHSgLDssQFggfMAI&usg=AOvVaw2PRacOoBU5U_v6IWrmQvLF
8,True,,,24/09/18,deportes-2,El VAR de Infobae: todas las polémicas del Superclásico,https://www.infobae.com/deportes-2/2018/09/24/el-var-de-infobae-todas-las-polemicas-del-superclasico/&sa=U&ved=0ahUKEwi017XYvpveAhUECpAKHSgLDssQFgglMAM&usg=AOvVaw3VRtpsxnCIv_eTa_Pem87o
9,True,Martín Luciano Insaurralde,"River se impuso por 2-0 ante Boca en el Superclásico y el resultado no dejó conformes a los hinchas xeneizes. Uno de los que vivió un momento de tensión fue Gonzalito Rodríguez, que fue increpado por un plateísta durante el encuentro. ""Es hincha de River, que se vaya a la casa. La c… de tu madre"", se alcanza a escuchar en las imágenes que se hicieron virales y tienen al periodista como protagonista. Los gritos estaban dirigidos a Gonzalito, quien había acompañado a su hijo para que este pudiera ver al club de sus amores. ""Mi hijo es hincha de Boca y lo llevé por primera vez a la cancha. Es fanático. Encima justo debutaba en un clásico, imaginate la emoción"", le contó el conductor a Infobae. ""Estuvo todo perfecto: cantamos, sufrimos y cuando estábamos subiendo las escaleras para salir antes y evitar a toda la gente, un solo hincha empezó a gritarme. Ahí me paré y le empecé a decir que se callara, que yo estaba con mi nene. Algunos plateístas me defendieron y mi hijo se puso a llorar por la situación"", detalló sobre lo sucedido en la platea media del estadio Alberto J. Armando. En el desenlace del video se puede ver cómo el resto de los fanáticos del club azul y oro reaccionan contra el promotor del conflicto. ""Se ve que se agarran a manotazos después, pero yo ahí ya me había ido. Cuando vi que no pude salir por arriba, agarré a mi hijo y nos fuimos por la parte de abajo"", afirmó. Pese a los incidentes, Gonzalito aseguró que su hijo disfrutó del espectáculo. ""No quiero que se manche el fútbol en general por una sola persona desubicada. Esto no incluye a todos los hinchas de Boca ni arruina una fiesta como un Superclásico. Fue uno solo que empañó un momento espectacular. Le agradezco al resto de los plateístas que se pusieron de mi lado y del lado de mi hijo, que estaba viviendo algo único. Fue un momento feo el que pasamos"", concluyó.",24/09/18,deportes-2,Gonzalito Rodríguez habló sobre el mal momento que vivió en la Bombonera,https://www.infobae.com/deportes-2/2018/09/24/gonzalito-rodriguez-hablo-sobre-el-mal-momento-que-vivio-en-la-bombonera/&sa=U&ved=0ahUKEwi017XYvpveAhUECpAKHSgLDssQFggrMAQ&usg=AOvVaw0SZw4Vhi93d8Mb9ttPp-X9
