autor,genero,toxicity,notas,comentarios
Alejo Santander,male,0.2676400283636364,1,45
Carlos Arbia,male,0.17818654688888885,4,18
Cherquis Bialo,male,0.3011478234765841,5,423
Claudia Peiró,female,0.255461143303205,3,178
Daniel Sticco,male,0.18983781201307684,9,153
Daniela Lichinizer,female,0.1809942055,1,10
Darío Mizrahi,male,0.3184897225555555,3,69
Eduardo Aulicino,male,0.24973241690625,1,33
Ernesto Tenembaum,male,0.3204002174961835,2,254
Federico Mayol,male,0.24898097153246754,3,83
Fernanda Jara,female,0.15745570444444446,2,9
Fernando Morales,male,0.2628489713519737,3,166
Fernando Soriano,male,0.30553212552269504,2,188
Fernando Taveira,male,0.14482875268749998,1,32
Francisco Bueno,male,0.20186743831641227,7,365
Gaby Cociffi,female,0.16947877258000002,1,15
Gastón Calvo,male,0.35101709765789474,4,88
Gastón Sanguinetti,male,0.2685942694720279,1,150
Gerardo González,male,0.24073140138671875,1,459
Gisela Marziotta,female,0.3901893108412699,1,68
Gisele Sousa Dias,female,0.33854730637346403,4,1117
Gustavo López,male,0.16772844828880007,3,129
Gustavo Segré,male,0.323686912,1,5
Gustavo Yarroch,male,0.17423075802162172,3,251
Juan Gasalla,male,0.1893619656050736,19,848
Juan Piscetta,male,0.29366813707638884,4,153
Laura Rocha,female,0.6208710999999999,2,64
Leonardo Tagliabúe,male,0.24265761510416656,1,386
Loreley Gaffoglio,female,0.29392133008173915,4,234
Luis Beldi,male,0.12544509881250002,2,8
Luis Novaresio,male,0.41514161122347415,4,264
Mariana Dahbar,female,0.37622733398097824,4,325
Mariano Thieberger,male,0.27462216103188114,1,605
Mariel Fitz Patrick,female,0.30069500575409824,2,94
Martín Angulo,male,0.2895796104899999,3,196
Martín Dinatale,male,0.3942634465796177,5,355
Matías Bauso,male,0.17130895,1,22
Mauricio Luna,male,0.3044360673333333,1,6
Milagros Monti,female,0.1373746164016393,3,132
Nieves Otero,female,0.2532281809090909,1,27
Omar Lavieri,male,0.2255655881063829,2,83
Pablo Riggio,male,0.17902933531578946,3,25
Pablo Wende,male,0.2268402506457711,15,1559
Pilar Safatle,female,0.2740789482127193,1,235
Roberto Bosca,male,0.3201350307916667,1,25
Román Lejtman,male,0.278521891301286,3,322
Sebastián Catalano,male,0.25977985088399996,2,640
Silvia Mercado,female,0.2344569978264357,11,938
Tatiana Schapiro,female,0.35680887824,4,222
Ximena Casas,female,0.20218044040445868,9,516
