,cantidad,keyword,toxicity
54,45,Mauricio Macri,0.2672774240523253
3,32,Fútbol,0.21003765833257682
230,28,Juegos Olímpicos de la Juventud,0.18423681345611942
79,19,Banco Central,0.1981554607442023
109,19,Actualidad política,0.2337701533596899
118,17,Los cuadernos de las coimas,0.23112564967339408
145,15,Elisa Carrió,0.25330744404640027
40,15,Jair Bolsonaro,0.2695760860784462
119,15,Cristina Kirchner,0.24657728324548184
1,15,Boca Juniors,0.22888123616349307
33,13,Inflación y precios,0.19436548466613598
37,12,Elecciones en Brasil,0.2692191281337635
34,12,Dólar hoy,0.20451807220633042
472,12,Actualidad,0.2691797202028665
133,11,Coloquio de IDEA,0.22724690398167754
2,11,River Plate,0.2173021959224507
53,11,FMI,0.23486447515668277
221,10,Pablo Moyano,0.28362240869636296
142,10,Estados Unidos,0.23840260938310687
441,10,Buenos Aires 2018,0.1364409341353159
183,9,Hugo Moyano,0.276052999760825
311,9,Germán Garavano,0.24232337432648482
4,9,Superliga,0.22451758776096772
173,9,Aumento de tarifas,0.23340387594514278
29,9,Indec,0.2292966660369724
121,8,Claudio Bonadio,0.23536490924149922
178,8,Sergio Massa,0.24345049336211558
61,8,Videos,0.21644223975020743
60,8,Nicolás Dujovne,0.2725846962273996
24,8,Brasil,0.2715068490799353
134,8,Presupuesto 2019,0.24714110843690984
58,8,Donald Trump,0.25127559211509193
153,7,Cambiemos,0.25181807448372756
149,7,María Eugenia Vidal,0.26479831351442734
158,7,Néstor Kirchner,0.25710280218453
144,7,Elecciones 2019,0.24539081575951718
95,7,Copa Libertadores,0.25019681962443374
180,7,Miguel Pichetto,0.23877996730969173
81,7,Guido Sandleris,0.17429222955255588
307,7,Personajes,0.19422126640601503
190,6,Inseguridad,0.23473193187931604
105,6,Netflix,0.16066318062200433
64,6,Fútbol Internacional,0.23008607029100528
151,6,Marcos Peña,0.2772012468169301
298,5,B20,0.3470435730542095
82,5,Luis Caputo,0.2995284809175317
76,5,Los Pumas,0.12602042369141414
90,5,Educación,0.24993438854322453
97,5,Cruzeiro,0.2550950027414739
510,5,homicidio,0.2170946161048366
124,5,Caso José López,0.22276408906388018
191,5,Chile,0.2464473035466334
305,5,Música,0.10264738787272727
15,5,Daniel Angelici,0.1896879932937467
262,5,Fernando Haddad,0.24068182413974998
227,5,Rogelio Frigerio,0.2446304990667502
175,5,Javier Iguacel,0.19441308280244093
216,5,Impuestos,0.2166119864636764
225,5,Carlos Menem,0.21675168599257805
0,5,Superclásico,0.19868791542640055
365,4,México,0.28202137445810277
529,4,Arabia Saudita,0.24093238467857145
198,4,Ciencia,0.110401908125
177,4,CGT,0.2354648257036901
139,4,LA NACION Data,0.1703919120800254
534,4,Moyano vs. Gobierno,0.2824144725707068
96,4,Conmebol,0.22285274048130252
201,4,Tenis,0.22037978378064704
166,4,El fútbol del sábado,0.2652292374788732
114,4,ONU,0.288576782790275
379,4,Carlos Rosenkrantz,0.32593967959041953
138,4,Pobreza,0.28283194016717333
490,4,Series de TV,0.15759052590522876
237,4,Leandro Cuccioli,0.2595262706801709
417,4,La corrupción K,0.24822033404946087
156,4,Carlos Stornelli,0.2464585976204701
357,4,Selección argentina,0.1960768874244318
399,4,Máximo Kirchner,0.26239064264305045
120,4,Julio De Vido,0.2432107717701273
309,4,Televisión,0.20165420880059526
26,4,Consumo,0.1877542593697249
75,4,Rugby Championship,0.12864525886426767
11,4,Marcelo Gallardo,0.19056863256180073
57,4,Christine Lagarde,0.2982316188856891
55,4,G-20,0.32350438374900103
9,4,Lionel Scaloni,0.15015226432386364
62,4,Conflicto docente,0.276593694389652
249,3,Club Atlético Independiente,0.2257323231958158
127,3,Narcotráfico,0.20842272220370373
587,3,Luján,0.3000494937825758
470,3,Daniel Scioli,0.2587862598189885
511,3,Florencio Varela,0.15890474124074075
378,3,Corte Suprema de Justicia,0.3833622056205594
350,3,Radio,0.2868787717126437
222,3,Luis Barrionuevo,0.24255717539227228
596,3,Jamal Khashoggi,0.20994099994642856
