,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario
44,,,,4,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2175210-the-best-2018-fifa,
363,,,,16,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2175249-bill-cosby-fiscal-pide-se-lo-declare,
3289,,,,26,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2175246-el-chico-hizo-su-cv-mano-porque,
4761,,,,75,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2175763-donald-trump-juez-corte-suprema-abuso-sexual,
5095,,,,88,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2175848-10-restaurantes-bien-chic,
6147,,,,106,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176319-andres-calamaro-le-canta-viejo-amor-verdades,
6150,,,,108,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176200-arde-madrid-serie-sexo-alcohol-ava-gardner,
6151,,,,111,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176311-jose-ottavis-la-plata-maneje-campana-2013,
8010,,,,115,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2175794-transparencia-puertas-abiertas-lo-mas-valorado-clientes,
8027,,,,117,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176265-malvinas-identificaron-dos-nuevos-soldados-argentinos-darwin,
8048,,,,119,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176213-como-actua-nueva-droga-tratar-obesidad,
10765,,,,170,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176907-debido-sus-polemicas-declaraciones-imputaron-baby-etchecopar,
10766,,,,171,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176957-ara-san-juan-detectaron-nuevo-punto-interes,
10767,,,,172,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176931-coimas-financista-clarens-aporto-datos-ruta-euros,
12166,,,,189,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2176748-que-es-lo-mas-distingue-empresario,
18212,,,,244,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2177701-goles-argentinos-champions-league-marcaron-paulo-dybala,
18688,,,,257,,NOTA SIN COMENTARIOS,https://www.lanacion.com.ar/2177801-la-actriz-fernanda-meneses-acusa-abuso-sexual,
