,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
10542,True,16:46 29/09/2018,,156,0.0,"@el_pulento @lsmi2504 @juansanfer Y siguio pidiendo ayuda, rata cobarde resentida.",https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,juansanfer,,Economía,"Nicolás Dujovne: ""No tengo miedo de que no se pueda controlar el dólar""",0.7675704000000001,0.95885354,82,73
56993,False,21:32 19/10/2018,6.0,765,0.0,"Fea. Resentida. Loser.
Tomate el palo, neg.ra.xha...",https://www.lanacion.com.ar/2183289-miss-bolivia,rmike,Yamila Trautman,Espectáculos,"Se quedó sin trabajo, se separó y se fue de su casa: el cambio de vida de Miss Bolivia",0.8352564,0.904667,55,50
20986,False,14:07 04/10/2018,,293,1.0,"acepto los chascarrillos cuando salen de una boca inmaculada, si salen de gordas mostras, vacas sucias, es resentimiento y maldeducación",https://www.lanacion.com.ar/2178188-mientras-marcos-pena-daba-su-informe-diputada,luis_mauleon,,Política,"Mientras Marcos Peña daba su informe, una diputada K le ponía filtros en una transmisión por Instagram",0.83775395,0.81117237,136,117
18472,False,20:51 02/10/2018,5.0,249,4.0,"Las mujeres cada vez más maleducadas, violentas y locas. Nada les viene bien.",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia,gperez43,Sofía Terrile,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",0.8825915000000001,0.77750224,77,65
20746,False,21:09 03/10/2018,3.0,292,0.0,"La   BURRA    CORRENTINA,     abortera   desde   su    adolescencia.   Criminal  !!!",https://www.lanacion.com.ar/2178184-una-diputada-llamo-gato-mauricio-macri-jerry,spcristal,,Política,"Una diputada llamó ""gato"" a Mauricio Macri y ""Jerry"" a Marcos Peña durante el informe de gestión",0.6036729000000001,0.77750224,84,57
28727,False,00:17 08/10/2018,,404,0.0,SERVICIO MILITAR OBLIGATORIO BASTA DE NINIS... INTERVENCIÓN DE DE LOS SINDICATOS DOCENTES... BASTA DE PRIVILEGIOS PARA MINORÍAS.. GAYS TORTAS LESBIS Y ABORTERAS... ALDO RICO 2019,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,torno10,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.8352564,0.77750224,178,154
43721,True,19:04 14/10/2018,4.0,626,1.0,"@anaesnaola ¿Y si hubiera sido travesti habrías dicho travesticidio?  Cuánto tiempo perdido en la facultad de Derecho para tener que soportar ahora todas estas teorías ridículas. Tal vez,  si yo muero violentamente algún modernoso jurídico dirá  que es un viejicidio y pedirá más  pena para  mi asesino. ",https://www.lanacion.com.ar/2181722-ullifemicidio-cordoba-asesino-su-esposa-convivio-cadaver,pikybayres,Gabriela Origlia ,Sociedad,Femicidio en Córdoba: asesinó a su esposa y convivió tres días con el cadáver,0.8439916,0.7636647,304,252
42669,True,02:15 15/10/2018,3.0,602,0.0,@amazona2 A cuál quier dama hecha y derecha le gustan esas cosas....no como las feministas esas locas.....,https://www.lanacion.com.ar/2181771-arba-intimara-mas-350-countries-regularicen-pago,tmcdonnell,Sofía Diamante,Economía,ARBA intimará a más de 350 countries para que regularicen el pago de sus impuestos,0.7266589,0.7367093000000001,106,90
18501,True,20:49 02/10/2018,3.0,249,1.0,"@jpoggio6 Las mujeres nos detestan sin razón alguna, la verdad que son ellas las que están cada vez más maleducadas, violentas y locas.",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia,gperez43,Sofía Terrile,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",0.8268554,0.68848574,135,113
14349,False,11:06 30/09/2018,8.0,209,1.0,Las fuerzas de seguridad son una salida laboral para miles de personas sin educación. Gente muy ignorante y resentida que se sienten poderosos por tener un arma.,https://www.lanacion.com.ar/2177120-peaje-muerte-discusion-tiro-arma-pelea-autopista,sebastian_88,,Sociedad,"Un prefecto discutió con otro automovilista, se bajó del vehículo con un arma y lo mató en la Illia",0.46794176,0.65022653,161,135
41770,True,23:15 13/10/2018,1.0,586,0.0,"@lucasvas @Naty_Mercurio_XI @Giani_Castronovo No a todos. Odio al hombre en general, pero hay hombres copados. Odio al machismo. Y a las mujeres machistas grandes. Porque crian hijos machistas. Eso se esta terminando por suerte.",https://www.lanacion.com.ar/2181557-el-gobierno-comenzo-analizar-escenario-2019,Naty_Mercurio_XI,Jaime Rosemberg,Política,El Gobierno ya comenzó a analizar el escenario 2019,0.83820385,0.65022653,228,195
440,True,09:04 25/09/2018,3.0,21,3.0,"@VonHayek  Che Von, déjate de hacer apreciaciones ridículas. Para USA y la Unión Europea, Argentina es un socio estratégico vital, liderando liberalmente la geopolítica de una región populista (salvo pequeñas excepciones) donde los cánceres de Venezuela, Cuba y Nicaragua tienen que ser erradicados de raíz. Argentina es mucho más estratégica para USA de lo que vos imaginás con tu triste comparación de PBIs.",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,gmdominguez01,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,0.7266589,0.6366232,409,346
56945,False,21:27 19/10/2018,5.0,763,0.0,las femi bolches y su caza de brujas.,https://www.lanacion.com.ar/2183391-tras-diez-meses-fuera-del-aire-denuncias,Lavite,Pablo Montagna,Espectáculos,"Tras diez meses fuera del aire por las denuncias de acoso, Ari Paluch vuelve a El Exprimidor",0.6943849,0.56382483,37,30
18476,True,00:31 03/10/2018,,249,0.0,"@gperez43 típico comentario machista,  ¿qué te viene bien a vos?  contanos para enterarnos.  ¿tu mamá y tus hermanas fueron así, violentas, locas , insatisfechas?  no  generalices por tu triste y corta experiencia,  la mía con los hombres,  mi padre,  el padre de mis hijos,  mis hijos,  mis yernos... no piensan igual que vos. Son hombres en serio,  completos, fantásticos,  buenos compañeros, buenos padres...",https://www.lanacion.com.ar/2177764-tener-hijos-hacer-carrera-dicotomia-no-deberia,luisa22,Sofía Terrile,Economía,"Tener hijos o hacer carrera, la dicotomía que no debería existir más para las mujeres",0.6108853,0.50066394,411,337
52228,True,20:10 17/10/2018,3.0,714,0.0,"@BorgesAlvarez Si algo faltaba para nunca invertir en argentina, BINGO llegaron las femi bolches.",https://www.lanacion.com.ar/2182663-empresas-colectivos-deberan-contratar-mujeres-alcanzar-cupo,Lavite,,Sociedad,Empresas de colectivos deberán contratar mujeres hasta alcanzar el cupo del 30%,0.54240024,0.4251348,97,84
50045,True,11:31 19/10/2018,,698,1.0,@scas8818 Y la hermana y las ex tambien estan locas? ,https://www.lanacion.com.ar/2182594-ojala-te-pudras-infierno-mensaje-madre-hijo,lucrecii,,El Mundo,"""Ojalá te pudras en el infierno"": el mensaje de una madre a su hijo muerto que reveló un pasado oscuro",0.31176758,0.3727785,53,43
34527,True,20:03 09/10/2018,2.0,473,1.0,"@sf2000 Porque la mitad de los deudos olfateó dinero. Luego que tres potencias -compitiendo- no lo encontraron. Se instalaron en una base naval y empezaron a ""Clamar"". Siempre, exigiendo alternativas caras y ridículas (Hasta llevar a una vidente), dejando abierta la posibilidad de darles la plata a ellos; que es más fácil que seguir buscando.
La otra mitad de los deudos, es Gente Decente y asumió su dolor, sin perder las esperanzas.",https://www.lanacion.com.ar/2180125-ara-san-juan-sin-nuevos-puntos-investigar,Trigono,José María Costa,Política,"ARA San Juan: sin nuevos puntos para investigar, buscan al submarino en una zona más profunda",0.42650583,0.3680321,439,369
403,False,10:29 25/09/2018,1.0,21,2.0,"Parece George Bush, que no paraba de tirar frases ridículas.",https://www.lanacion.com.ar/2175272-mauricio-macri-lagarde-cena-gala-wall-street,tuvi7868,Rafael Mathus Ruiz,Política,Mauricio Macri saludó a Trump y cenó junto Lagarde en su gran agasajo en Wall Street,0.26668105,0.32094315,60,51
40999,True,16:44 12/10/2018,1.0,563,0.0,@Dreamwever Sabe querido. Muchas de las crisis económicas de hoy tienen su origen en los perdones y las vistas gordas de muchos años. Tengo 75 años de vida honorable y quiero justicia y por lo tanto penas para los que eligieron otro tipo de vida y no fueron honorables.  La vejez y la muerte no dignifican,https://www.lanacion.com.ar/2181169-sobresueldos-casacion-confirmo-condena-cuatro-anos-medio,pikybayres,Paz Rodríguez Niell,Política,Sobresueldos: Casación confirmó la condena de cuatro años y medio de prisión contra Carlos Menem,0.40019208,0.29669014,305,249
328,False,22:54 24/09/2018,1.0,14,0.0,La jaula de las locas ...,https://www.lanacion.com.ar/2175196-la-familia-real-britanica-da-otro-paso,riccastel,,El Mundo,La familia real británica da otro paso hacia el siglo XXI: celebró su primera boda gay,0.113532215,0.23934499999999997,25,20
23517,True,22:22 04/10/2018,2.0,328,0.0,El show lo hicieron las otras dos locas que filmaron!!!dale! Eran carmelitas del convento de lopez!,https://www.lanacion.com.ar/2178578-hablo-mujer-agredio-jovenes-venezolanas-las-canitas,ana_mato,,Sociedad,Habló la mujer que agredió a las jóvenes venezolanas en Las Cañitas,0.0830932,0.17234726,99,84
