,abierta_comentarios,autor,cuerpo,fecha,seccion,titulo,url
0,True,Alejandro Casar González,"La Conmebol decidió perdonar al brasileño Dedé y el defensor central de Cruzeiro podrá jugar la revancha con Boca , por los cuartos de final de la Copa Libertadores . El zaguero había sido expulsado por el árbitro paraguayo Ever Aquino en la Bombonera por una agresión a Esteban Andrada , arquero xeneize. Tras la jugada, el ex arquero de Lanús quedó tendido en el piso y debió salir de la cancha:tuvo fractura del maxilar inferior, de la que ya fue operado y que le demandará al menos dos meses de recuperación.Boca tiene decidido apelar el fallo que emitió ayer por la tarde el Tribunal de Disciplina, que le quitó la expulsión a Dedé y lo habilitó a jugar la revancha en Belo Horizonte.        Luego del partido (que terminó 2-0 a favor de Boca), los dirigentes de Cruzeiro viajaron a Paraguay para reunirse con el presidente de la Conmebol, Alejandro Domínguez. Allí, además, presentaron una ""medida provisional urgente"" para que se le quitara el castigo a Dedé. Según pudo reconstruir LA NACION, la Conmebol tuvo en cuenta en su fallo un antecedente que involucra a un jugador argentino. Se trata de Leandro Romagnoli, quien fue expulsado en el partido de vuelta de los cuartos de final de la Libertadores 2014 contra el propio Cruzeiro.Fue después de que Marcelo Moreno, delantero boliviano del conjunto mineiro, fingiera una agresión por parte del Pipi. El árbitro uruguayo Martín Vázquez le mostró la tarjeta roja al futbolista argentino. Sin embargo, los dirigentes del Ciclón protestaron el fallo e incluso mandaron evidencia respaldatoria a Paraguay. Con todo, la Conmebol resolvió quitarle la tarjeta roja (y el respectivo castigo disciplinario) a Romagnoli, quien pudo disputar las semifinales, en las que derrotó a Bolívar (Bolivia) por 5-1 en el marcador global. Ese año, San Lorenzo levantaría la primera Libertadores de su historia.El antecedente de Romagnoli",26/09/2018,Deportes,"Cruzeiro-Boca: sin sanción para Dedé por el choque con Andrada, con un antecedente argentino",https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente
1,True,,"Los coletazos de la derrota frente a River siguen provocando reacciones en Boca . Y así como Darío Benedetto fue muy autocrítico antes de subir con sus compañeros al avión que los trasladó a Córdoba, una vez que llegaron a la ciudad donde mañana se enfrenta a Gimnasia, por los octavos de final de la Copa Argentina , Carlos Tevez fue tajante: ""Jugando como el domingo no podemos ganar la Copa Libertadores .""""Cada uno tiene su mirada, coincidimos en que un clásico se juega totalmente diferente a lo que nosotros jugamos y la frase del Pipa está bien dicha. En Aeroparque, el goleador había declarado: ""Contra River nos faltó jugarlo como un clásico"".El Apache no anduvo con vueltas a la hora de analizar el presente del equipo, y desestimó que una hipotética victoria ante el Lobo cure las heridas. ""No es una revancha mañana, son partidos diferentes. Revancha es volver a jugar contra River y eso es lo que queremos. Mañana tenemos la posibilidad de dar otra imagen, como jugamos el domingo no podemos ganar la Copa.""Tevez amplió su análisis sobre la derrota superclásica y su rendimiento: ""Contra River me sentí bien, pero creo que el equipo necesitaba algo mas de todos. Hay que hacerse responsable como yo lo hice después del partido cuando di la cara.""Además, el delantero minimizó los dos partidos consecutivos que River le ganó a Boca en la Bombonera: ""Nosotros hablamos también, nos han ganado los últimos 2 clásicos en nuestra casa y nosotros ganamos los últimos dos en la casa de ellos. Se hace muy difícil plasmar para los dos equipos el juego que hace de local.""",26/09/2018,Deportes,"Carlos Tevez, sin vueltas: ""Jugando así no podemos ganar la Copa Libertadores""",https://www.lanacion.com.ar/2175937-carlos-tevez-sin-vueltas-jugando-asi-no
4,True,,"LIVERPOOL.- Balón de Plata con Bélgica en el Mundial de Rusia e integrante del 11 Ideal de la FIFA, Eden Hazard estuvo a la altura de su muy buen 2018 con el golazo que convirtió en la victoria por 2 a 1 de Chelsea , que eliminó a Liverpool en los octavos de final de la Copa de la Liga (Carabao Cup).Liverpool ganaba con un gol de Sturridge, igualó Emerson y Hazard selló la victoria a cuatro minutos del final. De 27 años, pretendido por Zinedine Zidane cuando estaba en Real Madrid, Hazard suma cinco goles (tres a Cardiff) en seis fechas de la Premier League, en la que Chelsea comparte el segundo puesto. junto con Manchester City, a dos puntos del líder Liverpool ",26/09/2018,Deportes,"Golazo de Hazard, puro talento, en la victoria de Chelsea sobre Liverpool en la Copa de la Liga",https://www.lanacion.com.ar/2175914-golazo-hazard-puro-talento-victoria-chelsea-liverpool
10,True,,"La Superliga decidió postergar el partido de la séptima fecha que debían jugar el sábado Rosario Central y San Martín de San Juan en el Gigante de Arroyito. El encuentro, que aún no tiene fecha de realización, fue cancelado luego de que los responsables de seguridad de Santa Fe pidieran su cancelación. A través de una nota enviada ayer al gerente de Gestión Institucional de la Superliga, Enrique Sacco, Diego Seijo, director de coordinación de seguridad de competencias deportivas y eventos masivos de Santa Fe, requiere que la postergación del partido debido a que el domingo habrá elecciones en Rosario Central y ""debido a la inmediatez entre el partido de fútbol y el acto eleccionario"". Además, el organismo advierte que se podrían generar ""situaciones de inseguridad"" que podrían ""poner en riesgo el normal desarrollo del encuentro"" y ""empañar el acto eleccionario"".En otro pasaje de la nota, el funcionario santafesino aclara que la postergación se trata, en realidad, de un pedido de las tres agrupaciones políticas que participarán del escrutinio, en el que se elegirá al sucesor de Raúl Broglia, actual presidente del club canalla. Además, la seguridad de Santa Fe fundamenta su pedido en base a que, ""de realizarse el partido según lo programado, se estaría dando lugar a la posible ruptura de la veda electoral establecida estatutariamente (48 horas) y a las leyes electorales provinciales"".Las tres agrupaciones que se disputarán la presidencia son Foro Canallas Unidos (el oficialismo, que lleva como candidato a presidente a Rodolfo Di Pollina), Comunidad Canalla (Hernán Marty) y Fuerza Auriazul (Mario Moretti).",26/09/2018,Deportes,"Para prevenir incidentes y a pedido de la seguridad, la Superliga postergó Rosario Central vs. San Martín de San Juan",https://www.lanacion.com.ar/2175900-para-prevenir-incidentes-pedido-seguridad-superliga-postergo
13,True,,"MADRID (DPA) - No es habitual que pierdan Barcelona y Real Madrid . Mucho menos que los dos mayores representantes de la Liga de España pierdan en el mismo día: es lo que sucedió este martes, con el equipo blaugrana superado por Leganés (2-1), que no había ganado en el torneo hasta esta jornada, y luego con la inapelable goleada que el Madrid sufrió en Sevilla , que explotó las gigantescas carencias defensivas de los blancos con un 3-0 rotundo, resuelto con holgura en el primer tiempo. Así, en apenas seis fechas, la Liga se ha quedado sin invictos. Los dos gigantes no perdían en la misma jornada desde el 4 de enero de 2015.El conjunto de Julen Lopetegui desaprovechó así la oportunidad de ser único líder tras conocer la derrota del Barcelona ante el Leganés. No sólo desperdició el regalo azulgrana, sino que ofreció su peor actuación de la temporada. Y el sábado recibe al Atlético de Madrid, un rival mucho más exigente.Sevilla preparó el partido con meticulosidad y disciplina. Recuperó el balón muy arriba y, de la mano del argentino Franco Vázquez , bailó al Real Madrid durante toda la primera parte. El resto lo hicieron los merengues con sus inexplicables errores defensivos, impropios de un equipo que hace pocos meses se consagró campeón de la Champions League.Sevilla sólo tardó 17 minutos en adelantarse en el primer regalo de la noche de Marcelo en la salida de balón. Lo aprovechó André Silva, un delantero que crece y crece. Cuatro minutos después llegó el segundo tanto local, que nació de un saque de esquina del Real Madrid. Realizó una cobertura pésima em defensa y André Silva lo aprovechó para firmar su doblete. Con seis tantos, es el máximo anotador de la Liga española.En pleno desconcierto visitante, Vázquez estrelló un balón en el palo y a los 39 minutos llegó el tercer gol sevillista. Esta vez fue Sergio Ramos quien firmó el regalo y Ben Yedder lo aprovechó.La segunda mitad fue un querer y no poder para el Real Madrid. Bale desperdició un mano a mano y por el VAR se anuló un gol de Luka Modric por fuera de juego. Ahí se acabó el atisbo de reacción del conjunto blanco.El equipo de Julen Lopetegui ofreció un recital de impotencia y acabó con diez jugadores por la lesión de Marcelo. Todo le salió mal y Sevilla desnudó sus carencias para situarse con diez puntos, y ya a sólo tres de Barcelona y Real Madrid. Una semana después de su recital ante la Roma, llegó la peor versión del campeón de Europa.",26/09/2018,Deportes,El día de las sorpresas: Real Madrid fue goleado 3-0 por Sevilla y ya no hay invictos en la Liga de España,https://www.lanacion.com.ar/2175893-el-dia-sorpresas-real-madrid-fue-goleado
6,True,María Julieta Rumi,"La líder de Service Design para Sudamérica Hispana de Accenture, Carolina Coppoli, habló de las tendencias que tienen que tener en cuenta las empresas para entender a los usuarios, ya que la data no serviría para comprender completamente a las personas ni para conmoverlas.""Yo era una fundamentalista de la data, pero solo trackea el comportamiento manifiesto, y como psicóloga sé que solo manifestamos un 10% de lo que pensamos, con lo cual la fantasía de poder prever lo que el usuario va a hacer es falsa"", afirmó Coppoli durante el evento Negocios del Futuro , organizado por LA NACION, y dio un ejemplo con el clásico de Shakespeare Romeo y Julieta.""La novela empieza con Julieta conforme con la decisión de sus padres de casarse con Paris y Romeo solo aparece al final del primer acto ¿Qué pasaría si la empresa trackeara eso? Esa compañía hubiera perdido dinero con la data, porque Romeo es un cisne negro. Por eso la creative data es una de las tendencias del futuro. Hay que integrar la empatía. Quizás haciendo entrevistas tampoco aparecía Romero, pero hubiéramos percibido la tristeza de Julieta"", aseguró la psicóloga.Otra tendencia que señaló es la del contraataque del mundo físico, con empresas como Amazon y Alibaba que compraron compañías físicas, pero que regresan de una forma diferente, aplicando la tecnología a la experiencia en el mundo concreto.Por último, dijo que hay una revolución del diseño que se impone sobre el marketing, ya que en diseño se trabaja más en lo personal, en la experiencia de uno y metodologías como el design thinking permiten ver qué historia estamos contando en relación al usuario.",26/09/2018,Economía,"Creative data, la vuelta del mundo físico y la revolución del diseño: las tendencias que deben mirar las empresas",https://www.lanacion.com.ar/2175894-creative-data-vuelta-del-mundo-fisico-revolucion
7,True,Andrés Krom,"Sebastián Campanario, economista, periodista de LA NACION y autor de libros como La economía de lo insólito, Ideas en la ducha y Modo esponja, habló en la cuarta edición del evento Negocios del futuro sobre eso que conoce tan bien: la innovación y las tendencias que prometen provocar un cambio profundo en la sociedad durante los próximos años.Según él, cuántica, blockchain, biotecnología e inteligencia artificial son ""meteoritos"" a punto de extinguir a los ""dinosaurios"" o modelos tradicionales de negocios. Y no habrá que esperar mucho tiempo para que esto suceda.""El tecnólogo William Gibson dice que el futuro ya llegó, pero que no está igualmente distribuido -afirmó Campanario-. Ninguna de estas tecnologías va a pasar en cinco o diez años, están ocurriendo ahora, lo que estamos discutiendo es cuál es el timing de su distribución"".Además, dijo que ""el patrón de futuro es más difícil de predecir"", dado que ""estas tendencias exponenciales se están empezando a vincular"". Y aseguró: ""Estamos empezando ver carambolas a tres, cuatro y cinco bandas de modelos de negocios que combinan inteligencia artificial, Internet de las Cosas, cuánticas"".También dijo que la velocidad de los cambios vuelve obsoletas muchas de las predicciones de los ""gurúes"" de la tecnología. En ese sentido, dio como ejemplo que actualmente hay ""una discusión más positiva"" respecto a las posibles consecuencias de la inteligencia artificial en el mercado laboral, cuando años atrás se hablaba de la destrucción de millones de empleos.Asimismo, dijo que ""hay una contratendencia de revitalizar a la gente de más de 40 años"". ""Tendemos a hacer foco en los millennials -sostuvo-. Estamos perdiendo mucha riqueza por poner tanto énfasis en los emprendedores sub35"".",26/09/2018,Economía,"Las tecnologías del futuro ya existen, pero no están igualmente distribuidas",https://www.lanacion.com.ar/2175892-las-tecnologias-del-futuro-existen-pero-no
9,True,Andrés Krom,"El provocador de la radio, el conductor radical, el emprendedor constante: Mario Pergolini ha sabido combinar diversas facetas a lo largo de una carrera de más de tres décadas. El cerebro detrás de ciclos tan icónicos como ¿Cuál es?, Caiga Quien Caiga y Algo habrán hecho por la historia argentina está alejado de la TV, pero sigue al frente de otra pantalla: la de los celulares, gracias a populares ciclos transmitidos vía Instagram y Twitch, la plataforma de videojuegos de Amazon.Pergolini estuvo a cargo de cerrar la cuarta edición del evento ""Negocios del Futuro"" en un mano a mano con José Del Rio, secretario General de Redacción de LA NACION. Durante una charla atravesada por su ácido sentido del humor, reflexionó sobre el estado de la Argentina y los desafíos a futuro. ""No somos un país normal, lo de ayer fue una demostración clara"", dijo en referencia a la renuncia de Luis Caputo al Banco Central y agregó: ""Tenemos que estar atentos con lo que le está pasando a la educación. Es un problema grave, pero le estamos prestando más atención al dólar"".También hizo referencia al negocio de los medios. En ese sentido, sostuvo que el modelo publicitario de la TV abierta está en crisis y que existen pocas chances de que este segmento se pueda reconvertir. Además, dijo que ""nadie debajo de los 35 años escucha radio"" y señaló que las mejores perspectivas las tienen los canales y servicios de videos bajo demanda, dado que muchas audiencias diferentes todavía convergen en algunas series o contenidos.Hoy, Pergolini está muy involucrado en la gestión de Dift, una empresa de software que cofundó con Jerónimo Costa, Charly De Venezia y Matías Mediña que ha diseñado herramientas digitales para varias empresas multinacionales y que creó un popular juego de trivia móvil llamado Ingame.Además, conduce un noticiero de 15 minutos por Instagram que reúne 700.000 espectadores a través de esa red social y No sé de qué se trata, un programa de videojuegos por Twitch. ""Gran parte de nuestra inversión está en videojuegos, algunos de estos canales generan más audiencias que Netflix "", aseguró.Sin embargo, reconoció que no es un adicto a la tecnología: no tiene cuentas en redes sociales y ni siquiera usa WhatsApp. ""A las siete de la tarde apago el celular -afirmó-. El mundo funciona igual, tengo negocios y familia, no necesito estar conectado todo el día"".",26/09/2018,Economía,"Mario Pergolini: ""Le estamos prestando más atención al dólar que a la educación y debería ser al revés""",https://www.lanacion.com.ar/2175828-mario-pergolini-le-estamos-prestando-mas-atencion
14,True,,"En conferencia de prensa, el nuevo presidente del Banco Central , Guido Sandleris , anunció que el nuevo régimen monetario constará de dos partes: la delimitación de zonas de ""intervención y de no intervención"" en el mercado cambiario y un ""estricto control"" de la base monetaria, que no crecerá hasta junio de 2019.Según la definición del BCRA, la Base Monetaria está constituida por el dinero legal en circulación (billetes y monedas en poder del público) más los depósitos de los bancos en pesos en el Banco Central.Las cinco claves del acuerdo con el FMI19:38                            .cls-1 {                                fill: #1ca3ff;                            }                            .cls-2 {                                fill: none;                                stroke: #fff;                                stroke-width: 1.2px;                                opacity: 0.96;                            }                        Video                {                ""@context"": ""http://schema.org"",                ""@type"": ""VideoObject"",                ""name"": ""Las cinco claves del acuerdo con el FMI"",                ""description"": """",                ""thumbnailUrl"": [""http://bucket3.glanacion.com/06/2777906.jpg""],                ""uploadDate"": ""2018-09-26 19:44:00"",                ""duration"": ""19:38"",                ""embedUrl"": ""http://content.jwplatform.com/players/071Tsv5l-FJjWnu4O.html""                }            Es controlada por el Banco Central y, de este modo, la entidad monetaria controla la oferta monetaria y, por ende, la inflación .""En términos económicos implica una fuerte contracción del crédito y de la economía, una tasa de interés muy alta, siempre y cuando se mantenga este 0% estricto. Hay que ver el detalle, pero a priori es endurecimiento de las condiciones monetarias y mayores dificultades para acceder al crédito y de que haya dinero en circulación"", explicó a LA NACION Martín Alfie, economista jefe de la consultora Radar.",26/09/2018,Economía,"Qué es la base monetaria, la herramienta que usará el BCRA para controlar la inflación",https://www.lanacion.com.ar/2175878-que-es-base-monetaria-lo-mantendra-a
15,True,,"En suprimera aparición pública el flamante presidente del Banco Central de la República Argentina (BCRA), Guido Sandleris, aseguró que su objetivo primario será bajar la inflación.""Objetivo primario del BCRA es reducir la inflación"", dijo Sandleris en una conferencia de prensa en la que comenzó agradeciendo al presidente Mauricio Macri por el nombramiento en el cargo.",26/09/2018,Economía,"Inflación, emisión cero y bandas de no intervención: las principales frases de Sandleris",https://www.lanacion.com.ar/2175873-inflacion-emision-cero-bandas-no-intervencion-principales
