,fecha,likes,nota_id,nota_url,respuestas,texto,usuario,es_respuesta
2330,00:07 25/09/2018,2.0,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,0,"Hay que darles martires a los cimarrones , total nadie los a a extrañar ",ricardomanantial,False
2395,23:55 24/09/2018,2.0,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,0,@etacarinae88 @ricardomanantial Yo pensaba con los cimarrones dentro,ricardomanantial,True
2424,23:47 24/09/2018,4.0,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,0,"94 millones Maximosin hacer nada, jajajajaja podria donar algo a los cimarrones de la plaza no?",ghriva,False
2425,23:47 24/09/2018,4.0,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,1,Quieren dos cimarrones como Kosteki y Santllan ,ricardomanantial,False
2869,22:24 24/09/2018,1.0,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,0,"@ccmaxima @lmrosario Milani, tu milico bueno, escoria K.",AndersB,True
2897,22:22 24/09/2018,,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,0,"@ccmaxima @cheroke1 Vas a correr como en 1955 o como en 1976, escoria K?",AndersB,True
2959,22:04 24/09/2018,4.0,25,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,0,Estas bestias son guerrilleros terrorristas y las autoridades deberian de actuar y aplicar toda la ley a full.  ,arusany,False
3758,14:54 25/09/2018,,30,https://www.lanacion.com.ar/2175221-a-89-anos-prestigioso-matematico-asegura-haber,0,"@guepardo Hay que seguir la conversación y prestar atención al contexto antes de responder. Los números enteros están contenidos dentro de ""eje de los reales"" (no dentro del semieje positivo, que sí incluye a todos los naturales, ni dentro del plano de los complejos). Mi comentario venía a cuenta del que antes había hecho orbifold. ",Diego456,True
3759,15:54 25/09/2018,1.0,30,https://www.lanacion.com.ar/2175221-a-89-anos-prestigioso-matematico-asegura-haber,0,"@Diego456 @guepardo En álgebra abstracta, se definen números primos generalizados (o ""ideales primos"") en sistemas algebraicos conocidos como anillos conmutativos. El conjunto de los números enteros es un ""anillo"", el de los naturales no lo es. De ahí que muchas veces definen a un número primo dentro de los enteros.",orbifold,True
5674,02:07 28/09/2018,1.0,98,https://www.lanacion.com.ar/2176195-el-gobierno-elimina-aranceles-importacion-productos-tecnologicos,0,Claro vota al macrismo que va dejar 30millones de pobres. De donde salen ustedes? Del Newman salen tan bestias?,sebastian877,False
6748,16:57 27/09/2018,,99,https://www.lanacion.com.ar/2176184-pobreza-indigencia-indec,3,"@republicaonada   Y para colmo los que vienen de Venezuela son buenos,  son mejores a los marrones de acá.",oscarbr,True
6955,21:08 27/09/2018,,102,https://www.lanacion.com.ar/2176239-una-turista-murio-aplastada-elefante-durante-safari,0,"@coordinador35 No, justamente los safaris y la industrai del turismo es lo único que puede salvar a elefantes, leones, leopardos, tigres, rinocerontes, etc  de la extición total. Se los caza por su piel, cuernos dientes, medicina tradicional china, trofeos, etc. Y pagan bastante dinero por cada animal, en países extremadamente pobres esos es una fuerte tentación. La industria del Turismo y los safaris (que no deben por supuesto ser invasivos) generan fuentes de trabajo genuinas y mueven mucho dinero, el cual sirve de paliativo y alternativa a lo antes mencionado. El tema es que estamos hablando de animales salvajes, siempre peligrosos, los accidentes ocurrieron, ocurren y ocurrirán. Yo también desearía que viviesen sin injerencia humana alguna, pero no es viable. En este caso, es la mejor solución posible. Lo que es necesaris es tener sentido común: no bajarse de los vehículos, no comprar marfil, no pagar por una cacería enlatada (busquen ""canned hunting"", en Argentina lamentablemente también existe).",AfrikaT,True
7506,23:18 27/09/2018,4.0,112,https://www.lanacion.com.ar/2176224-mauricio-macri,0,"Estàn con pànico los cimarrones, no tienen candidato ni partido Ja!Ja!Ja! ",nesfer24,False
9357,18:30 28/09/2018,,127,https://www.lanacion.com.ar/2176595-la-compania-larga-distancia-flechabus-se-presento,0,"@DOMINOR1 @luis_lab estas bestias festejan que un servicio público deje de funcionar, que la gente no pueda viajar y que otras personas se queden sin trabajo...... por suerte por ahora esto no ocurre, flechabus seguirá operando pero...... esta como racing en su momento, feo momento.",flaviopi,True
10515,23:41 28/09/2018,2.0,142,https://www.lanacion.com.ar/2176637-mauricio-macri-critico-agresiones-recibio-pareja-visito,0,"prefiero pagarte un plan a darte un trabajo, asi me aseguro que siempre estes bajo la suela pardo...",TheDuke2009,False
11285,18:10 29/09/2018,,156,https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,2,"Pobres cimarrones, Porota se choreo un PBI y ellos ahora pagan Ja!Ja!Ja! ",nesfer24,False
11332,18:09 29/09/2018,,156,https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,0,@omargutierrez @nesfer24 Hay perros cimarrones y peron chos cimarrones,nesfer24,True
11353,17:59 29/09/2018,4.0,156,https://www.lanacion.com.ar/2176898-nicolas-dujovne-no-tengo-miedo-no-se,1,"Los cimarrones entraron en pànico, hay abstinencia al choreo",nesfer24,False
13257,21:45 29/09/2018,4.0,178,https://www.lanacion.com.ar/2176929-fito-paez-hablo-kirchnerismo-nueva-york-nunca,2,"En Europa, Viena, Londres, Ginebra, Milán, Praga, se dan conciertos públicos que erizan la piel. Aquí estos chantas desafinados sin conocimientos de música son pagados para que aúllen al compás de la pobre sociedad embrutecida. Y los políticos populistas, contentos, porque piensan conseguir votos. Pagamos nos, de nuestros impuestos para que las bestias sigan existiendo.",fumenoire,False
14801,22:18 30/09/2018,2.0,201,https://www.lanacion.com.ar/2177171-docentes-hicieron-fiesta-escuela-moreno-cerrada-explosion,0,@otro22 dejo como siembra estas escorias que de personas y valores no tienen nada.Ademas siendo docentes que verguenza por favor prestarse para esto.,angel19495,True
14865,03:01 01/10/2018,1.0,202,https://www.lanacion.com.ar/2177179-juan-carlos-schmid-renuncio-al-triunvirato-cgt,0,hasta de robar les da fiaca a estos pardos,relajateygoza1,False
15547,00:37 01/10/2018,1.0,206,https://www.lanacion.com.ar/2177138-a-partir-manana-buenos-aires-estara-sitiada,0,si igual los marrones nos cortan a diario las calles...,rosa4427,False
16190,14:24 30/09/2018,8.0,209,https://www.lanacion.com.ar/2177120-peaje-muerte-discusion-tiro-arma-pelea-autopista,0,"Un milico con mente de milico. Un animal. Los milicos han sido parte importante en lo que nos pasa como pais.
Peron y otros bestias como el nos gobernaron por mas de 25 años.
Ademas peron una bestia mas bestia creó el peronismo que nos terminó de fundir",MabelZunino,False
16337,11:59 30/09/2018,,209,https://www.lanacion.com.ar/2177120-peaje-muerte-discusion-tiro-arma-pelea-autopista,1,"Desde hace décadas, las FF.SS. están conformadas por pardos y mestizos, allí están los resultados ",estevita,False
17920,15:57 01/10/2018,,223,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,4,"@maria_emilia_sol ¡Apa! Se chivó la maría emilia, tranqui, che, bolivia, chile segual.
¿Cuál vendría a ser la diferencia, son todos marrones?",fjcaldera,True
18532,12:40 01/10/2018,1.0,223,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,3,Porque ARGENTINA tiene que soportar LA ESCORIA de EXTRANJEROS,ravila3,False
18716,12:12 01/10/2018,3.0,223,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,2,La gran escoria latina. Chile. Por eso no los quiere nadie.,Afro_diita,False
19070,19:01 01/10/2018,1.0,231,https://www.lanacion.com.ar/2177450-atropello-mato-uno-ladrones-intento-asaltarlo-plena,0,"@obvius @utongo no importa el color, cuando menciona negro,  pardo o marrón se refiere al color del alma,  el cuerpo puede pertenecer a un  rubio de ojos claros,hay muchos blancos y rubios hablando guaraní y especialistas en acuchillar,   la conducta es  oscura. ",luisa22,True
21038,20:29 02/10/2018,7.0,265,https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,0,"@QuiqueLaNacion volvé a la bolsa de basura donde vivís, escoria.",smr1967,True
23332,19:58 04/10/2018,5.0,325,https://www.lanacion.com.ar/2178504-corcho-rodriguez-reconocio-haber-cobrado-u35-millones,1,Estas Escorias y la vida  de principes que llevan son los que funden las Pymes Argentinas.,legatto,False
24039,23:40 04/10/2018,,327,https://www.lanacion.com.ar/2178599-las-24-horas-de-vertigo-de-garavano-de-la-renuncia-al-respaldo-de-macri,0,Hincha por DEPORTIVO TÁCHIRA... VENECO PARDO MULATO.. 😁,torno10,False
25173,01:26 06/10/2018,,351,https://www.lanacion.com.ar/2178978-mauricio-macri-cierre-del-b20-la-transparencia,1,"Globertos, a pagar impuestos, tarifazos, a sufrir tasas marcianas, inflación descontrolada, endeudamiento récord, desocupación ídem, corrupcion de guante blanco, bicicletas financieras, ineptitud, marchas y contramarchas, ineptitud, vagancia. Traguen su veneno, bestias irredentas. Inanes ignorantes.",GorejDemian,False
25241,01:20 06/10/2018,5.0,351,https://www.lanacion.com.ar/2178978-mauricio-macri-cierre-del-b20-la-transparencia,5,"Los cimarrones entraron en pànico, saben que no vuelven màs! ",nesfer24,False
25368,01:04 06/10/2018,4.0,351,https://www.lanacion.com.ar/2178978-mauricio-macri-cierre-del-b20-la-transparencia,2,PERONISMO = CIMARRONES,nesfer24,False
27186,21:04 06/10/2018,2.0,382,https://www.lanacion.com.ar/2179233-carrio-indignada-cambio-afip-equivale-aliarse-echegaray,3,"Se sacaron la máscara , son la misma escoria q los K .",cave6675,False
29883,18:55 07/10/2018,2.0,412,https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero,0,Macri 2019/2023 - Vidal 2023/2031 Y los cimarrones en la cucha ,nesfer24,False
29907,18:53 07/10/2018,,412,https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero,0,"Los cimarrones buscan vandalismo, no vuelven mas ",nesfer24,False
32556,15:07 08/10/2018,,430,https://www.lanacion.com.ar/2179692-iguacel-se-defendio-dijo-habrian-llovido-juicios,0,@gato_pardo555 @republicaonada MAS EMPRESAS COMPITIENDO ES PRECIO MAS BAJO Y MAS OFERTA,republicaonada,True
32557,15:20 08/10/2018,,430,https://www.lanacion.com.ar/2179692-iguacel-se-defendio-dijo-habrian-llovido-juicios,0,"@republicaonada @gato_pardo555 Pero no en empresas de servicios BURRRRRRO, no se pueden hacer ocho cloacas de agua para ocho compañias distintas de agua, ni 20 cableados distintos para electricas. Por BURRRROS como vos estamos como estamos. Hablando y repietendo pavadas sin saber absolutamente nada.",gato_pardo555,True
33637,17:47 08/10/2018,1.0,443,https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa,0,"Bolsonaro presidente de America del Sur, los cimarrones terminan en Africa Ja!Ja!Ja! ",nesfer24,False
