,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
46925,True,17:29 15/10/2018,3.0,656,0.0,@-predator sos un hijo de mala madre. Escoria.,https://www.lanacion.com.ar/2181896-salio-bailar-lo-mataron-delicuentes-caballo,smr1967,,Sociedad,"Guernica: tenía 18 años, fue a bailar con amigos y delincuentes lo mataron a golpes",0.8825915000000001,0.98106045,46,39
19053,True,20:29 02/10/2018,7.0,265,0.0,"@QuiqueLaNacion volvé a la bolsa de basura donde vivís, escoria.",https://www.lanacion.com.ar/2177731-carrio-denuncia-proscripcion-porque-peronismo-bloqueo-comision,smr1967,Laura Serra,Política,Carrió denuncia proscripción porque el peronismo la bloqueó en una comisión,0.7826072,0.94948614,64,55
16279,True,13:33 01/10/2018,,223,0.0,@MartinLaacre @juanjorgesalzman desscendientes de campesinos analfabetos mezclados con cabecitas negras y etnias indigenas,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,stululakis,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.90981734,0.92028683,122,110
2854,True,22:24 24/09/2018,1.0,25,0.0,"@ccmaxima @lmrosario Milani, tu milico bueno, escoria K.",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,AndersB,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.7266589,0.92028683,56,49
16519,False,12:40 01/10/2018,1.0,223,3.0,Porque ARGENTINA tiene que soportar LA ESCORIA de EXTRANJEROS,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,ravila3,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.8352564,0.90825117,61,53
16703,False,12:12 01/10/2018,3.0,223,2.0,La gran escoria latina. Chile. Por eso no los quiere nadie.,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,Afro_diita,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.8825915000000001,0.904667,59,49
35216,True,19:17 09/10/2018,,475,0.0,"@cserrano5 @mbetuska no digas  estupideces. cobarde.....  estas pidiendo perdón ahora,   gil....  te repito, el foro no es patente de corso, no podes decir cualquier cosa, pedazo de  animal, bestia... y además, no es un muro impenetrable... es facil  levantar la identida, de bestias como vos....  ",https://www.lanacion.com.ar/2180053-la-oposicion-convoca-sesion-anular-aumento-gas,mbetuska,Gabriel Sued,Política,La oposición convoca a una sesión para anular el aumento en el gas,0.7582214,0.88061583,298,245
47977,False,23:03 16/10/2018,2.0,678,0.0,"Los cimarrones saltaban y gritaban, son ignorantes hasta cuando los afanan ",https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,nesfer24,,Política,"El juez que rechazó detener a Moyano aclaró: ""No me van a correr con aprietes""",0.7266589,0.8786493000000001,75,64
40943,False,23:45 12/10/2018,,563,0.0,Sres Jueces.........Metan Presos ... PERONISTAS... (de la era Menem).... basta de Maria Julias... para la Perrada P.....    Cavallo... Podra ser cualquier cosa... Pero todos saben vivio de lo suyo.... No afano lo que TODOS... sabemos afano la escoria eterna.. que gobernó por 70 años... y que sigue Jod....,https://www.lanacion.com.ar/2181169-sobresueldos-casacion-confirmo-condena-cuatro-anos-medio,radioperador,Paz Rodríguez Niell,Política,Sobresueldos: Casación confirmó la condena de cuatro años y medio de prisión contra Carlos Menem,0.73421943,0.8481671999999999,306,256
26770,False,21:04 06/10/2018,2.0,382,3.0,"Se sacaron la máscara , son la misma escoria q los K .",https://www.lanacion.com.ar/2179233-carrio-indignada-cambio-afip-equivale-aliarse-echegaray,cave6675,,Política,"Carrió, indignada por un cambio en la AFIP: ""Equivale a aliarse con Echegaray y su gente""",0.43461046,0.8026213000000001,54,42
