,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
2624,False,23:05 24/09/2018,1.0,25,0.0,"LA UNICA FORMA DE REPRIMIR EFECTIVAMENTE es justamente sin ley, que nadie se sienta seguro, que haya un temorr generalizado y con motivos, y que es lo único que esta chusma respeta, el làtigo, el garrote y el plomo",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ermindogranero,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.8463333000000001,0.84144527,214,176
21307,False,00:52 04/10/2018,,299,0.0,"A favor o en contra de la pena de muerte para los asesinos, pedofilos, violadores, los marcos y los funcionarios públicos cuyo corrupción sea causal de muerte?",https://www.lanacion.com.ar/2178179-arreglo-cita-facebook-fue-drogada-violada,Gaviiota,,Sociedad,Arregló una cita por Facebook y fue drogada y violada,0.8825915000000001,0.77750224,159,133
2629,True,23:04 24/09/2018,1.0,25,9.0,@Walter212 ESTE PLOMO OTRA VES,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,alberto2124,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.7266589,0.68848574,30,26
3041,True,21:50 24/09/2018,1.0,25,0.0,"@eec_2008 Y a plomo como corresponde, muy tibia la bullrich.",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,Lavite,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.7359257,0.6688304,60,51
14149,False,14:44 30/09/2018,5.0,209,0.0,Marche pena de muerte para el milico,https://www.lanacion.com.ar/2177120-peaje-muerte-discusion-tiro-arma-pelea-autopista,aespina4,,Sociedad,"Un prefecto discutió con otro automovilista, se bajó del vehículo con un arma y lo mató en la Illia",0.7266589,0.6457271,36,30
48866,True,21:14 16/10/2018,2.0,680,0.0,@abelmonte4 coincido que a veces hace falta un rifle sanitario para terminar con estas especies de ladrones,https://www.lanacion.com.ar/2182302-moyano-celebro-fallo-del-juez-desafia-ahora,fcab1,Nicolás Balinotti,Política,Moyano celebró el fallo del juez y desafía ahora con paritarias de 42%,0.56116796,0.62032247,107,91
32114,False,17:49 08/10/2018,8.0,443,2.0,"SON 200 MIL MILLONES DE DOLARES LOS SAKEADOS POR LA ASOCIACION ILICITA K ..... LOS PODRAN COLGAR, AGUILLOTINAR, FUSILAR O DARLES CADENA PERPETUA..... PERO LO QUE MAS ME IMPORTA ES QUE APAREZCA EL DINERO SAKEADO.... ",https://www.lanacion.com.ar/2179723-confirman-procesamiento-cristina-kirchner-sus-hijos-causa,Just4Justice,,Política,Confirman el procesamiento de Cristina Kirchner y sus hijos en la causa Hotesur,0.80286556,0.6168899,215,180
12985,False,19:57 30/09/2018,5.0,203,0.0,Marche un salvavidas de plomo !!!,https://www.lanacion.com.ar/2177132-carlos-menem-celebro-alianza-massa-schiaretti-urtubey,elsopeti,,Política,"Carlos Menem celebró la alianza entre Massa, Schiaretti, Urtubey y Pichetto: ""Va a ganar las elecciones""",0.7266589,0.5939051,33,28
2880,False,22:21 24/09/2018,1.0,25,2.0,"garrote... garrote...garrote, y si con eso no basta plomo...pomo...plomo.",https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,cheroke1,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.61833674,0.58803976,73,65
2431,False,23:42 24/09/2018,6.0,25,6.0,Para cuando plomo a la cimarronada !,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ricardomanantial,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.58795375,0.58719254,36,30
64600,False,20:17 23/10/2018,6.0,887,0.0,Pobre pibe hay que entenderlo El viejo le destrozaba el desfile de soldaditos de plomo que armaba en fl living,https://www.lanacion.com.ar/2184480-el-sutil-mensaje-remera-maximo-kirchner,pibepaz,,Política,El sutil mensaje de la remera de Máximo Kirchner,0.6938544,0.58007336,110,91
2640,True,23:03 24/09/2018,3.0,25,0.0,@antabuse Y el plomo en la otra.,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,Lavite,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.57666326,0.51694566,32,26
3211,False,21:09 24/09/2018,4.0,25,1.0,hay que tirarles con plomo,https://www.lanacion.com.ar/2175245-atacan-bombas-molotov-sede-gendarmeria-nacional-san,ICPA2016,,Política,Atacan con bombas molotov una sede de Gendarmería Nacional en Monserrat,0.56116796,0.51268446,26,22
20249,True,23:37 03/10/2018,,291,0.0,@Caida_Libre @Myanki Hay que borrar todos los tratados que prohiben la pena de muerte,https://www.lanacion.com.ar/2178192-el-gobierno-sumo-apoyo-dos-gobernadores-mas,masademar,Santiago Dapelo,Política,El Gobierno sumó el apoyo de dos gobernadores más para el presupuesto,0.5969621999999999,0.50948304,85,72
17108,False,19:02 01/10/2018,4.0,232,0.0,"ASI TIENEN QUE ENTRAR EN PERONIA , tirando plomo para los todEs",https://www.lanacion.com.ar/2177438-la-policia-federal-se-prepara-seguridad-cumbre,a2,,Política,La Policía Federal se prepara para la seguridad de la cumbre del G20,0.68816024,0.5004114000000001,63,52
9128,True,20:59 28/09/2018,1.0,142,0.0,"si te escrachan en las redes.... no se que haces. pero si te agreden fisicamente, o te arruinan el local, denuncia. y si eso no prospera... mano propia. y bien dura. si no practicara budismo.. practicaria tiro al cabeza",https://www.lanacion.com.ar/2176637-mauricio-macri-critico-agresiones-recibio-pareja-visito,diegoms1976,,Política,Mauricio Macri criticó las agresiones que recibió una pareja a la que visitó en Machwitz,0.56116796,0.49968255,219,181
46999,False,19:24 16/10/2018,5.0,659,0.0,"Romero fue siempre un arquero de mediocre para abajo. Jamas sale, no retiene pelotas faciles. Es como jugar con uno menos.
Por algo es siempre suplente en el equipo donde juega.",https://www.lanacion.com.ar/2182282-argentina-brasil-todo-lo-dejo-clasico-sudamericano-arabia,rduaygues,,Deportes,Lo que dejó Argentina-Brasil: la cantidad de patadas a Neymar y la explicación del gol de Miranda,0.30991256,0.4251348,180,151
