,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity
15806,True,16:43 01/10/2018,1.0,223,3.0,@fjcaldera ERES UN INDIO  DE JUJUY GUATON  POR  EL TETRA,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,stululakis,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.8915658000000001,0.9317044
15815,True,16:46 01/10/2018,,223,0.0,@fjcaldera @stululakis OYE INDIO  BORRACHO PORQUE NO  SE PONEN INSOLENTES AHORA COMO EN 1978,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,stululakis,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.83469915,0.89281285
15897,False,15:50 01/10/2018,1.0,223,6.0,"Que gente ignorante , lean un poco de historia antes de hablar . Argentinos ignorantes , me da vergüenza sentir compatriotas hablar de la manera que se expresan algunos aquí , no se trata del indio que gobierna Bolivia , que será indio y merece respeto por eso más allá de su condición humana , se trata de un país que fue invadido por lo chilenos , que aparte se dedican a invadir a todo le tiene al lado , incluído nosotros , ignorantes e indignos compatriotas argentinos !!!!!!!!!!!!!!",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,maria_emilia_sol,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.8825915000000001,0.8862271
15900,True,15:58 01/10/2018,1.0,223,0.0,@fcaldera AL PENCA DE @STULULAKIS... LE BORRAN LOS POST Y SOLO CONTESTA A UNA MUJER... INDIO MIEDO TENIENDO... JUAAAA JUAAAA 😂,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.8392606,0.7900634
24699,True,22:57 06/10/2018,6.0,362,2.0,Indio.....ni de esclavo servis.,https://www.lanacion.com.ar/2179229-juegos-olimpicos-juventud-ceremonia-inaugural-fotos,Sebastian1976,Fernando Vergara,Deportes,Juegos Olímpicos de la Juventud: así se vivió la ceremonia inaugural en pleno centro porteño,0.7266589,0.77750224
16568,False,12:34 01/10/2018,,223,0.0,"Ahora los troles de Cambiemos tienen que elegir entre bolitas y shilenos!!!
Qué patéticos que son estos anencefálicos... Jajajaja. En fin.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,elinus2,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.52202034,0.7641845
15812,True,16:41 01/10/2018,,223,0.0,Es de los tuyos.. Indio penca... Juaaaa bobooooo.. 😁,https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,torno10,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.7266589,0.75969374
45124,True,20:53 15/10/2018,,639,0.0,@mbrachini @republicano1810 que me contas de pocahontas eh tenia un indio hase como 80 generasin atras en noviembre el colorado los barre de vuelta,https://www.lanacion.com.ar/2181983-cada-vez-mas-cerca-bolsonaro-mantiene-amplia,nomengrapes70,,El Mundo,Cada vez más cerca: Bolsonaro mantiene una amplia ventaja de cara al ballottage,0.7266589,0.7445223000000001
16652,True,12:32 01/10/2018,,223,0.0,"@Mrce44 ??? Oh... este angelito bobalicón cree que todos son troles y reciben línea como él!!! Se ve que a vos te dieron orden de hacer catarsis en una nota sobre los bolitas y los shilenos jejejeje.
Tomar partido por uno de esos es patético bobina!!! En fin.",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,elinus2,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.56116796,0.65022653
15863,False,16:19 01/10/2018,2.0,223,2.0,"felicito al pueblo chileno que no se deja amedrentar por indios abusadores, como es el caso de MORALES, el indio cocalero...¿ que esperaban? ¿ exportar sus drogas a través del pacífico chileno? para otra cosa no sirven, bolis",https://www.lanacion.com.ar/2177357-chile-bolivia-disputa-salida-al-mar-corte,republicaonada,,El Mundo,Fallo histórico: La Haya rechazó el reclamo de Bolivia para negociar con Chile la salida al mar,0.80360115,0.65022653
