,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,label
59434,False,15/10/2018 18:45,4,651,1,"Globo, a que hora se vuelve a arrepentir la gorda?, sabes?",https://www.lanacion.com.ar/2181893-el-macrismo-sale-caza-nuevos-militantes-prepara,elcoso,Alan Soria Guadalupe,Política,El macrismo sale a reclutar nuevos militantes y prepara el terreno para la campaña,,,0
21291,False,08/10/2018 00:17,,404,0,SERVICIO MILITAR OBLIGATORIO BASTA DE NINIS... INTERVENCIÓN DE DE LOS SINDICATOS DOCENTES... BASTA DE PRIVILEGIOS PARA MINORÍAS.. GAYS TORTAS LESBIS Y ABORTERAS... ALDO RICO 2019,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,torno10,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.8352564,0.77750224,1
53632,False,08/10/2018 08:16,,404,5,HACE 28 AÑOS ES DIPUTADO. COMO LA GORDA CARRIO VIVE DEL ESTADO.,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,obreroamargo,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.6486711,0.6642257,0
1164,True,08/10/2018 02:01,1,404,4,"Vamos mauricio , empeza a ser mas bolsonaro y menos lilito radicheta , que de x si la gorda te los debe tener x el piso !!!_ajajajaj",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,bypizza_0,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.6106236,0.5877627,0
12647,True,08/10/2018 00:14,,404,3,"La gorda amenazando al Sr. Pesidente publicamente?, Que pasa globo?, sabes algo?",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,elcoso,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.4693078,0.5609553,0
20968,False,08/10/2018 00:19,,404,7,"Globo, no se si sabes interpretar pero la gorda te esta diciendo que el gato es un gato no confiable.",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,elcoso,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.18306857,0.30967584,0
20710,False,14/10/2018 04:12,,609,0,"No lo puedo creer, patas sucias matando patas sucias, una excelente noticia, jajajajajajajajajajaja",https://www.lanacion.com.ar/2181631-tras-perder-el-califato-ei-vuelve-a-las-raices-las-tacticas-de-insurgencia,fjcaldera,Bassem Mroue ,El Mundo,"Tras perder el califato, EI vuelve a las raíces: las tácticas de insurgencia",0.42926833,0.3835852,0
19142,False,11/10/2018 01:01,1,507,0,@amazona Ah porque había fotos de Alcides en la radio que estaba con una enana jajaja. Igualmente las mejores fotos son las que está de la manito con una gorda teñida de rubio jajaja. Mgarlatti las subió. Eran geniales,https://www.lanacion.com.ar/2180482-en-semana-podrian-dejar-funcionar-17-millones,lucasvas,Daniel Gallo,Sociedad,Dentro de una semana podrían dejar de funcionar 17 millones de celulares,,,1
49539,False,15/10/2018 19:45,2,649,0,@Jose_felix Lo va a agarrar la gorda que le rayaron el mondongo en Moreno y lo va a reprender.,https://www.lanacion.com.ar/2181972-busqueda-justicia-reclamo-persiste-11-meses-desaparicion,Trigono,Darío Palavecino,Política,"""Búsqueda y Justicia"", el reclamo que persiste a 11 meses de la desaparición del ARA San Juan",0.7266589,0.63889647,1
17752,False,19/10/2018 11:05,1,722,0,Un cartel en el programa de Tato Bores tenía una frase que era algo parecido a esto: No te quejes del espejo si tienes la cara fea. Nunca olvidaré a este gran docente de la TV. La frase figuraba como de Gogol.,https://www.lanacion.com.ar/2183107-autocritica-del-empresariado-imagen-piso-si-te,mardogace,Darío Palavecino,Economía,"Autocrítica del empresariado, con la imagen por el piso: ""Si te pusieron un 2, ponete a estudiar""",0.56116796,0.6187691,1
